marca,tipo producto,Model Name,Engine,Drive,Transmission,Year,API_Response
changan,camioneta,hunter 1.9l comfort,,,,,[]
changan,camioneta,hunter 1.9l comfort,,4X4,,,[]
changan,camioneta,hunter 1.9l elite,,4X4,,,[]
changan,camioneta,hunter 1.9l luxury,,,,,[]
changan,camioneta,hunter 1.9l luxury,,4X4,,,[]
changan,camioneta,hunter comfort 2.0t,,4X2,MT,2024,[]
changan,camioneta,hunter comfort 2.0t,,4X2,MT,2025,[]
changan,camioneta,hunter comfort 2.0t,,4X4,MT,2024,[]
changan,camioneta,hunter comfort 2.0t,,4X4,MT,2025,[]
changan,camioneta,hunter elite sport 2.0t,,4X4,MT,2024,[]
changan,camioneta,hunter elite sport 2.0t,,4X4,MT,2025,[]
changan,camioneta,hunter luxury 2.0t,,4X2,MT,2024,[]
changan,camioneta,hunter luxury 2.0t,,4X2,MT,2025,[]
changan,camioneta,md 301 ac esp,,,MT,2024,"[{""city_mpg"": 19, ""class"": ""small sport utility vehicle"", ""combination_mpg"": 22, ""cylinders"": 6, ""displacement"": 3.5, ""drive"": ""fwd"", ""fuel_type"": ""gas"", ""highway_mpg"": 26, ""make"": ""acura"", ""model"": ""mdx fwd"", ""transmission"": ""a"", ""year"": 2024}, {""city_mpg"": 19, ""class"": ""small sport utility vehicle"", ""combination_mpg"": 21, ""cylinders"": 6, ""displacement"": 3.5, ""drive"": ""awd"", ""fuel_type"": ""gas"", ""highway_mpg"": 25, ""make"": ""acura"", ""model"": ""mdx awd"", ""transmission"": ""a"", ""year"": 2024}, {""city_mpg"": 17, ""class"": ""standard sport utility vehicle"", ""combination_mpg"": 19, ""cylinders"": 6, ""displacement"": 3.0, ""drive"": ""awd"", ""fuel_type"": ""gas"", ""highway_mpg"": 21, ""make"": ""acura"", ""model"": ""mdx awd type-s"", ""transmission"": ""a"", ""year"": 2024}]"
changan,camioneta,md201 1.2l pick up,,,,,[]
changan,camioneta,md201 1.2l pick up ac,,,,,[]
changan,camioneta,md201 1.5l xl,,,,,[]
changan,camioneta,md201 1.5l xl ac,,,,,[]
changan,camioneta,md201,,,MT,2024,[]
changan,camioneta,md201 xl 1.5l,,,MT,2024,[]
changan,camioneta,ms 201,,,MT,2024,[]
changan,camioneta,ms 301 plus ac esp,,,,2024,[]
changan,camioneta,ms201 1.2l pick-up,,,,,[]
changan,camioneta,ms201 1.2l pick-up plus,,,,,[]
