marca,tipo producto,Model Name,Engine,Drive,Transmission,Year
changan,camioneta,hunter 1.9l comfort,,,,
changan,camioneta,hunter 1.9l comfort,,4X4,,
changan,camioneta,hunter 1.9l elite,,4X4,,
changan,camioneta,hunter 1.9l luxury,,,,
changan,camioneta,hunter 1.9l luxury,,4X4,,
changan,camioneta,hunter comfort 2.0t,,4X2,MT,2024
changan,camioneta,hunter comfort 2.0t,,4X4,MT,2024
changan,camioneta,hunter elite sport 2.0t,,4X4,MT,2024
changan,camioneta,hunter luxury 2.0t,,4X2,MT,2024
changan,camioneta,md 301 ac esp,,,MT,2024
changan,camioneta,md201 1.2l pick up,,,,
changan,camioneta,md201 1.2l pick up ac,,,,
changan,camioneta,md201 1.5l xl,,,,
changan,camioneta,md201 1.5l xl ac,,,,
changan,camioneta,md201,,,MT,2024
changan,camioneta,md201 xl 1.5l,,,MT,2024
changan,camioneta,ms 201,,,MT,2024
changan,camioneta,ms 301 plus ac esp,,,,2024
changan,camioneta,ms201 1.2l pick-up,,,,
changan,camioneta,ms201 1.2l pick-up plus,,,,
chevrolet,camioneta,colorado 2.8l high country aut,,4X4,,
chevrolet,camioneta,colorado 2.8l ltz,,4X4,,
chevrolet,camioneta,colorado 2.8l ltz aut,,4X4,,
chevrolet,camioneta,colorado hc 2.8td,,4WD,AT,
chevrolet,camioneta,colorado hc 2.8td l,,4WD,AT,
chevrolet,camioneta,colorado high country,,4X4,AT,2024
chevrolet,camioneta,colorado ls,,4X2,MT,2024
chevrolet,camioneta,colorado lt,,4X4,AT,2024
chevrolet,camioneta,colorado lt,,4X4,MT,2024
chevrolet,camioneta,colorado lt 2.8td m,,4WD,AT,
chevrolet,camioneta,colorado lt 2.8td m,,4WD,MT,
chevrolet,camioneta,colorado ltz,,4X4,AT,2024
chevrolet,camioneta,colorado ltz 2.8td,,4WD,AT,
chevrolet,camioneta,colorado ltz 2.8td l,,4WD,AT,
chevrolet,camioneta,colorado z71,,4X4,AT,2024
chevrolet,camioneta,montana t lt,1.2,,MT,2024
chevrolet,camioneta,montana t ltz,1.2,,AT,2024
chevrolet,camioneta,montana t premier,1.2,,AT,2024
chevrolet,camioneta,montana t premier,1.2,,MT,2024
chevrolet,camioneta,montana t rs,1.2,,AT,2024
chevrolet,camioneta,silverado 3.0l diesel ltz,,4X4,,
chevrolet,camioneta,silverado 5.3l lt trailboss,,4X4,,
chevrolet,camioneta,silverado 5.3l ltz,,4X4,,
chevrolet,camioneta,silverado cc lt tb 5.3l,,,,
chevrolet,camioneta,silverado cc lt tb 5.3l l,,,,
chevrolet,camioneta,silverado cc ltz 3.0td,,,,
chevrolet,camioneta,silverado cc ltz 5.3l,,,,
chevrolet,camioneta,silverado cc ltz 5.3l l,,,,
chevrolet,camioneta,silverado hc td,3.0,4X4,AT,2024
chevrolet,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024
chevrolet,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024
dfsk,camioneta,d1 confort,,4X2,MT,2024
dfsk,camioneta,d1 luxury,,4X4,AT,2024
dfsk,camioneta,d1 luxury,,4X4,MT,2024
dongfeng,camioneta,df 212 cs,,,MT,2024
fiat,camioneta,ram 700 slt dc,1.4,,MT,
ford,camioneta,maverick lariat fx4 hev,,,AT,2024
ford,camioneta,maverick xlt,2.0,4X2,AT,2024
ford,camioneta,ranger 2.2l tdci xl,,4X2,,
ford,camioneta,ranger 2.2l tdci xl,,4X4,,
ford,camioneta,ranger 2.5l xlt,,4X2,,
ford,camioneta,ranger 3.2l tdci ltd aut,,4X4,,
