city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
16,standard pickup truck,18,4.0,2.8,rwd,gas,23,chevrolet,colorado 2wd,a,2004
18,standard pickup truck,21,4.0,2.8,rwd,gas,24,chevrolet,colorado 2wd,m,2004
16,standard pickup truck,18,5.0,3.5,rwd,gas,22,chevrolet,colorado 2wd,a,2004
17,standard pickup truck,19,5.0,3.5,rwd,gas,23,chevrolet,colorado 2wd,m,2004
16,standard pickup truck,18,4.0,2.8,rwd,gas,23,chevrolet,colorado crew cab 2wd,a,2004
16,standard pickup truck,18,4.0,2.8,rwd,gas,23,chevrolet,colorado 2wd,a,2004
18,standard pickup truck,21,4.0,2.8,rwd,gas,24,chevrolet,colorado 2wd,m,2004
16,standard pickup truck,18,5.0,3.5,rwd,gas,22,chevrolet,colorado 2wd,a,2004
17,standard pickup truck,19,5.0,3.5,rwd,gas,23,chevrolet,colorado 2wd,m,2004
16,standard pickup truck,18,4.0,2.8,rwd,gas,23,chevrolet,colorado crew cab 2wd,a,2004
16,standard pickup truck,18,4.0,2.8,rwd,gas,23,chevrolet,colorado 2wd,a,2004
18,standard pickup truck,21,4.0,2.8,rwd,gas,24,chevrolet,colorado 2wd,m,2004
16,standard pickup truck,18,5.0,3.5,rwd,gas,22,chevrolet,colorado 2wd,a,2004
17,standard pickup truck,19,5.0,3.5,rwd,gas,23,chevrolet,colorado 2wd,m,2004
16,standard pickup truck,18,4.0,2.8,rwd,gas,23,chevrolet,colorado crew cab 2wd,a,2004
16,standard pickup truck,18,4.0,2.8,rwd,gas,23,chevrolet,colorado 2wd,a,2004
18,standard pickup truck,21,4.0,2.8,rwd,gas,24,chevrolet,colorado 2wd,m,2004
16,standard pickup truck,18,5.0,3.5,rwd,gas,22,chevrolet,colorado 2wd,a,2004
17,standard pickup truck,19,5.0,3.5,rwd,gas,23,chevrolet,colorado 2wd,m,2004
16,standard pickup truck,18,4.0,2.8,rwd,gas,23,chevrolet,colorado crew cab 2wd,a,2004
16,standard pickup truck,18,4.0,2.8,rwd,gas,23,chevrolet,colorado 2wd,a,2004
18,standard pickup truck,21,4.0,2.8,rwd,gas,24,chevrolet,colorado 2wd,m,2004
16,standard pickup truck,18,5.0,3.5,rwd,gas,22,chevrolet,colorado 2wd,a,2004
17,standard pickup truck,19,5.0,3.5,rwd,gas,23,chevrolet,colorado 2wd,m,2004
16,standard pickup truck,18,4.0,2.8,rwd,gas,23,chevrolet,colorado crew cab 2wd,a,2004
14,standard pickup truck,16,6.0,4.3,rwd,gas,19,chevrolet,silverado 1500 2wd,a,1999
15,standard pickup truck,17,6.0,4.3,rwd,gas,21,chevrolet,silverado 1500 2wd,m,1999
14,standard pickup truck,16,8.0,4.8,rwd,gas,19,chevrolet,silverado 1500 2wd,a,1999
14,standard pickup truck,16,8.0,4.8,rwd,gas,19,chevrolet,silverado 1500 2wd,m,1999
14,standard pickup truck,16,8.0,5.3,rwd,gas,19,chevrolet,silverado 1500 2wd,a,1999
23,small pickup truck,26,4.0,2.0,fwd,gas,30,ford,maverick fwd,a,2022
22,small pickup truck,25,4.0,2.0,awd,gas,29,ford,maverick awd,a,2022
42,small pickup truck,37,4.0,2.5,fwd,gas,33,ford,maverick hev fwd,a,2022
23,small pickup truck,25,4.0,2.0,fwd,gas,30,ford,maverick fwd,a,2023
40,small pickup truck,37,4.0,2.5,fwd,gas,33,ford,maverick hev fwd,a,2023
18,standard pickup truck,20,4.0,2.3,rwd,gas,22,ford,ranger pickup 2wd,a,1993
20,standard pickup truck,22,4.0,2.3,rwd,gas,26,ford,ranger pickup 2wd,m,1993
16,standard pickup truck,18,6.0,3.0,rwd,gas,22,ford,ranger pickup 2wd,a,1993
17,standard pickup truck,19,6.0,3.0,rwd,gas,23,ford,ranger pickup 2wd,m,1993
15,standard pickup truck,17,6.0,4.0,rwd,gas,20,ford,ranger pickup 2wd,a,1993
18,standard pickup truck,20,4.0,2.3,rwd,gas,22,ford,ranger pickup 2wd,a,1993
20,standard pickup truck,22,4.0,2.3,rwd,gas,26,ford,ranger pickup 2wd,m,1993
16,standard pickup truck,18,6.0,3.0,rwd,gas,22,ford,ranger pickup 2wd,a,1993
17,standard pickup truck,19,6.0,3.0,rwd,gas,23,ford,ranger pickup 2wd,m,1993
15,standard pickup truck,17,6.0,4.0,rwd,gas,20,ford,ranger pickup 2wd,a,1993
18,standard pickup truck,20,4.0,2.3,rwd,gas,22,ford,ranger pickup 2wd,a,1993
20,standard pickup truck,22,4.0,2.3,rwd,gas,26,ford,ranger pickup 2wd,m,1993
16,standard pickup truck,18,6.0,3.0,rwd,gas,22,ford,ranger pickup 2wd,a,1993
17,standard pickup truck,19,6.0,3.0,rwd,gas,23,ford,ranger pickup 2wd,m,1993
15,standard pickup truck,17,6.0,4.0,rwd,gas,20,ford,ranger pickup 2wd,a,1993
18,standard pickup truck,20,4.0,2.3,rwd,gas,22,ford,ranger pickup 2wd,a,1993
20,standard pickup truck,22,4.0,2.3,rwd,gas,26,ford,ranger pickup 2wd,m,1993
16,standard pickup truck,18,6.0,3.0,rwd,gas,22,ford,ranger pickup 2wd,a,1993
17,standard pickup truck,19,6.0,3.0,rwd,gas,23,ford,ranger pickup 2wd,m,1993
15,standard pickup truck,17,6.0,4.0,rwd,gas,20,ford,ranger pickup 2wd,a,1993
18,standard pickup truck,20,4.0,2.3,rwd,gas,22,ford,ranger pickup 2wd,a,1993
20,standard pickup truck,22,4.0,2.3,rwd,gas,26,ford,ranger pickup 2wd,m,1993
16,standard pickup truck,18,6.0,3.0,rwd,gas,22,ford,ranger pickup 2wd,a,1993
17,standard pickup truck,19,6.0,3.0,rwd,gas,23,ford,ranger pickup 2wd,m,1993
15,standard pickup truck,17,6.0,4.0,rwd,gas,20,ford,ranger pickup 2wd,a,1993
18,standard pickup truck,20,4.0,2.3,rwd,gas,22,ford,ranger pickup 2wd,a,1993
20,standard pickup truck,22,4.0,2.3,rwd,gas,26,ford,ranger pickup 2wd,m,1993
16,standard pickup truck,18,6.0,3.0,rwd,gas,22,ford,ranger pickup 2wd,a,1993
17,standard pickup truck,19,6.0,3.0,rwd,gas,23,ford,ranger pickup 2wd,m,1993
15,standard pickup truck,17,6.0,4.0,rwd,gas,20,ford,ranger pickup 2wd,a,1993
17,minivan,20,6.0,3.6,fwd,gas,25,ram,c/v cargo van,a,2012
17,minivan,20,6.0,3.6,fwd,gas,25,ram,c/v,a,2013
14,standard pickup truck,16,8.0,4.7,rwd,gas,20,ram,1500 2wd,a,2013
14,standard pickup truck,16,8.0,5.7,rwd,gas,20,ram,1500 2wd,a,2013
17,standard pickup truck,20,6.0,3.6,rwd,gas,25,ram,1500 2wd,a,2013
17,minivan,20,6.0,3.6,fwd,gas,25,ram,c/v cargo van,a,2012
17,minivan,20,6.0,3.6,fwd,gas,25,ram,c/v,a,2013
14,standard pickup truck,16,8.0,4.7,rwd,gas,20,ram,1500 2wd,a,2013
14,standard pickup truck,16,8.0,5.7,rwd,gas,20,ram,1500 2wd,a,2013
17,standard pickup truck,20,6.0,3.6,rwd,gas,25,ram,1500 2wd,a,2013
106,midsize car,99,,,fwd,electricity,92,nissan,leaf,a,2011
106,midsize car,99,,,fwd,electricity,92,nissan,leaf,a,2012
129,midsize car,115,,,fwd,electricity,102,nissan,leaf,a,2013
126,midsize car,114,,,fwd,electricity,101,nissan,leaf,a,2014
126,midsize car,114,,,fwd,electricity,101,nissan,leaf,a,2015
23,subcompact car,26,4.0,1.6,fwd,gas,32,nissan,sentra,a,1994
25,subcompact car,28,4.0,1.6,fwd,gas,34,nissan,sentra,m,1994
21,subcompact car,23,4.0,2.0,fwd,gas,27,nissan,sentra,a,1994
21,subcompact car,23,4.0,2.0,fwd,gas,28,nissan,sentra,m,1994
23,subcompact car,26,4.0,1.6,fwd,gas,31,nissan,sentra classic,a,1995
23,subcompact car,26,4.0,1.6,fwd,gas,32,nissan,sentra,a,1994
25,subcompact car,28,4.0,1.6,fwd,gas,34,nissan,sentra,m,1994
21,subcompact car,23,4.0,2.0,fwd,gas,27,nissan,sentra,a,1994
21,subcompact car,23,4.0,2.0,fwd,gas,28,nissan,sentra,m,1994
23,subcompact car,26,4.0,1.6,fwd,gas,31,nissan,sentra classic,a,1995
26,midsize car,28,4.0,1.8,fwd,gas,33,nissan,versa,a,2007
24,midsize car,27,4.0,1.8,fwd,gas,32,nissan,versa,a,2007
26,midsize car,28,4.0,1.8,fwd,gas,31,nissan,versa,m,2007
27,midsize car,29,4.0,1.8,fwd,gas,33,nissan,versa,a,2008
24,midsize car,27,4.0,1.8,fwd,gas,32,nissan,versa,a,2008
26,midsize car,28,4.0,1.8,fwd,gas,33,nissan,versa,a,2007
24,midsize car,27,4.0,1.8,fwd,gas,32,nissan,versa,a,2007
26,midsize car,28,4.0,1.8,fwd,gas,31,nissan,versa,m,2007
27,midsize car,29,4.0,1.8,fwd,gas,33,nissan,versa,a,2008
24,midsize car,27,4.0,1.8,fwd,gas,32,nissan,versa,a,2008
