marca,tipo producto,model name,engine,drive,transmission,year,model name simplified,marca simplified,model url,engine simplified,drive simplified,transmission simplified,Version URL
changan,camioneta,hunter 1.9l comfort,,,,,hunter 19l comfort,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/changan/hunter/comfort/178826
changan,camioneta,hunter 1.9l comfort,,4X4,,,hunter 19l comfort,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/changan/hunter/comfort-4x4/178828
changan,camioneta,hunter 1.9l elite,,4X4,,,hunter 19l elite,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/changan/hunter/elite-sport-4x4/178829
changan,camioneta,hunter 1.9l luxury,,,,,hunter 19l luxury,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/changan/hunter/luxury/178827
changan,camioneta,hunter 1.9l luxury,,4X4,,,hunter 19l luxury,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/changan/hunter/elite-sport-4x4/178829
changan,camioneta,hunter comfort 2.0t,,4X2,MT,2024.0,hunter comfort 20t,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2025/changan/hunter/comfort/178826
changan,camioneta,hunter comfort 2.0t,,4X4,MT,2024.0,hunter comfort 20t,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2025/changan/hunter/comfort-4x4/178828
changan,camioneta,hunter elite sport 2.0t,,4X4,MT,2024.0,hunter elite sport 20t,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2025/changan/hunter/elite-sport-4x4/178829
changan,camioneta,hunter luxury 2.0t,,4X2,MT,2024.0,hunter luxury 20t,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2025/changan/hunter/luxury/178827
changan,camioneta,md 301 ac esp,,,MT,2024.0,md 301 ac esp,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-pick-up,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/changan/md201-pick-up/12l-ac/178842
changan,camioneta,md201 1.2l pick up,,,,,md201 12l pick up,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-pick-up,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/changan/md201-pick-up/12l/178841
changan,camioneta,md201 1.2l pick up ac,,,,,md201 12l pick up ac,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-pick-up,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/changan/md201-pick-up/12l/178841
changan,camioneta,md201 1.5l xl,,,,,md201 15l xl,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-cargo-box,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/changan/md201-cargo-box/12l/178843
changan,camioneta,md201 1.5l xl ac,,,,,md201 15l xl ac,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-pick-up,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/changan/md201-pick-up/12l-ac/178842
changan,camioneta,md201,,,MT,2024.0,md201,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-cargo-box,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/changan/md201-cargo-box/12l/178843
changan,camioneta,md201 xl 1.5l,,,MT,2024.0,md201 xl 15l,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-cargo-box,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/changan/md201-cargo-box/12l/178843
