marca,tipo producto,model name,engine,drive,transmission,year,model name simplified,marca simplified,model url
changan,camioneta,hunter 1.9l comfort,,,,,hunter 19l comfort,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
changan,camioneta,hunter 1.9l comfort,,4X4,,,hunter 19l comfort,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
changan,camioneta,hunter 1.9l elite,,4X4,,,hunter 19l elite,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
changan,camioneta,hunter 1.9l luxury,,,,,hunter 19l luxury,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
changan,camioneta,hunter 1.9l luxury,,4X4,,,hunter 19l luxury,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
changan,camioneta,hunter comfort 2.0t,,4X2,MT,2024.0,hunter comfort 20t,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
changan,camioneta,hunter comfort 2.0t,,4X4,MT,2024.0,hunter comfort 20t,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
changan,camioneta,hunter elite sport 2.0t,,4X4,MT,2024.0,hunter elite sport 20t,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
changan,camioneta,hunter luxury 2.0t,,4X2,MT,2024.0,hunter luxury 20t,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
changan,camioneta,md 301 ac esp,,,MT,2024.0,md 301 ac esp,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-pick-up
changan,camioneta,md201 1.2l pick up,,,,,md201 12l pick up,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-pick-up
changan,camioneta,md201 1.2l pick up ac,,,,,md201 12l pick up ac,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-pick-up
changan,camioneta,md201 1.5l xl,,,,,md201 15l xl,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-cargo-box
changan,camioneta,md201 1.5l xl ac,,,,,md201 15l xl ac,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-pick-up
changan,camioneta,md201,,,MT,2024.0,md201,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-cargo-box
changan,camioneta,md201 xl 1.5l,,,MT,2024.0,md201 xl 15l,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-cargo-box
changan,camioneta,ms 201,,,MT,2024.0,ms 201,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-pick-up
changan,camioneta,ms 301 plus ac esp,,,,2024.0,ms 301 plus ac esp,changan,https://www.autocosmos.cl/catalogo/vigente/changan/x7-plus
changan,camioneta,ms201 1.2l pick-up,,,,,ms201 12l pickup,changan,https://www.autocosmos.cl/catalogo/vigente/changan/ms201-pick-up
changan,camioneta,ms201 1.2l pick-up plus,,,,,ms201 12l pickup plus,changan,https://www.autocosmos.cl/catalogo/vigente/changan/x7-plus
chevrolet,camioneta,colorado 2.8l high country aut,,4X4,,,colorado 28l high country aut,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
chevrolet,camioneta,colorado 2.8l ltz,,4X4,,,colorado 28l ltz,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
chevrolet,camioneta,colorado 2.8l ltz aut,,4X4,,,colorado 28l ltz aut,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
chevrolet,camioneta,colorado hc 2.8td,,4WD,AT,,colorado hc 28td,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
chevrolet,camioneta,colorado hc 2.8td l,,4WD,AT,,colorado hc 28td l,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
chevrolet,camioneta,colorado high country,,4X4,AT,2024.0,colorado high country,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
chevrolet,camioneta,colorado ls,,4X2,MT,2024.0,colorado ls,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
chevrolet,camioneta,colorado lt,,4X4,AT,2024.0,colorado lt,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
chevrolet,camioneta,colorado lt,,4X4,MT,2024.0,colorado lt,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
chevrolet,camioneta,colorado lt 2.8td m,,4WD,AT,,colorado lt 28td m,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
chevrolet,camioneta,colorado lt 2.8td m,,4WD,MT,,colorado lt 28td m,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
