model,marca,model name,engine,drive,transmission,year,version url,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Seguridad - Control de tracción,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Confort - Control de velocidad crucero,Confort - Encendido del motor,Seguridad - Control de estabilidad,Comunicación y entretenimiento - Apple Carplay / Android Auto,Comunicación y entretenimiento - Conexión USB,Confort - Limpialuneta,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Seguridad - Sensor de lluvia,Confort - Limitador de velocidad,Comunicación y entretenimiento - Wi-Fi,Confort - Puertas,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Confort - Palanca de cambios,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Sistema de video,Comunicación y entretenimiento - Sistema de navegación,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Comunicación y entretenimiento - Preinstalación teléfono,Motor - Potencia total sistema híbrido,Comunicación y entretenimiento - Disco rígido
changan hunter 1.9l comfort,changan,hunter 1.9l comfort,,,,,https://www.autocosmos.cl/catalogo/2025/changan/hunter/comfort/178826,diesel,1996 cc,163/3600 cv/rpm,400/1500-2500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"10,5 km/l","12,7 km/l","11,8 km/l",N/D,delantero - delantera,manual 6 velocidades,265/65/R17,discos ventilados - tambor,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,5330 mm,N/D,1930 mm,1835 mm,3180 mm,N/D,80 l,2025 kg,800 / 1000 kg,226 mm,600 mm,29°,27°,25°,3500 kg,N/D,N/D,N/D,N/D,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces de marcha diurna, con luces led, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan hunter 1.9l comfort 4X4,changan,hunter 1.9l comfort,,4X4,,,https://www.autocosmos.cl/catalogo/2025/changan/hunter/comfort-4x4/178828,diesel,1996 cc,163/3600 cv/rpm,400/1500-2500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"10,5 km/l","12,7 km/l","11,8 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - discos sólidos,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,5330 mm,N/D,1930 mm,1875 mm,3180 mm,N/D,80 l,2025 kg,800 / 1000 kg,226 mm,600 mm,29°,27°,25°,3500 kg,N/D,N/D,N/D,N/D,manual,sí,"con ajuste en altura, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces de marcha diurna, con luces led, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 10""","control de ascenso en pendientes, control de descenso en pendientes",sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan hunter 1.9l elite 4X4,changan,hunter 1.9l elite,,4X4,,,https://www.autocosmos.cl/catalogo/2025/changan/hunter/elite-sport-4x4/178829,diesel,1996 cc,163/3600 cv/rpm,400/1500-2500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"10,5 km/l","12,7 km/l","11,8 km/l",N/D,delantero - integral,manual 6 velocidades,265/60/R18,discos ventilados - discos sólidos,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,5330 mm,N/D,1930 mm,1875 mm,3180 mm,N/D,80 l,2135 kg,800 / 1000 kg,226 mm,600 mm,29°,27°,25°,3500 kg,N/D,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico solo conductor, con ajuste en altura",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con encendido y apagado automático, con luces de marcha diurna, con luces led, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",interna solo tapa de combustible,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina)",inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",6,sí,sí,"táctil de 10""","control de ascenso en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego",sí,sí,"con botón, con sistema remoto",sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan hunter 1.9l luxury,changan,hunter 1.9l luxury,,,,,https://www.autocosmos.cl/catalogo/2025/changan/hunter/luxury/178827,diesel,1996 cc,163/3600 cv/rpm,400/1500-2500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"10,5 km/l","12,7 km/l","11,8 km/l",N/D,delantero - delantera,manual 6 velocidades,265/65/R17,discos ventilados - discos sólidos,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,5330 mm,N/D,1930 mm,1875 mm,3180 mm,N/D,80 l,2025 kg,800 / 1000 kg,226 mm,600 mm,29°,27°,25°,3500 kg,N/D,N/D,N/D,N/D,climatizador,sí,"con ajuste en altura, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con luces de marcha diurna, con luces led, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 10""","control de ascenso en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego",sí,sí,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan hunter 1.9l luxury 4X4,changan,hunter 1.9l luxury,,4X4,,,https://www.autocosmos.cl/catalogo/2025/changan/hunter/elite-sport-4x4/178829,diesel,1996 cc,163/3600 cv/rpm,400/1500-2500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"10,5 km/l","12,7 km/l","11,8 km/l",N/D,delantero - integral,manual 6 velocidades,265/60/R18,discos ventilados - discos sólidos,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,5330 mm,N/D,1930 mm,1875 mm,3180 mm,N/D,80 l,2135 kg,800 / 1000 kg,226 mm,600 mm,29°,27°,25°,3500 kg,N/D,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico solo conductor, con ajuste en altura",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con encendido y apagado automático, con luces de marcha diurna, con luces led, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",interna solo tapa de combustible,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina)",inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",6,sí,sí,"táctil de 10""","control de ascenso en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego",sí,sí,"con botón, con sistema remoto",sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan hunter comfort 2.0t 4X2 MT 2024.0,changan,hunter comfort 2.0t,,4X2,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/changan/hunter/comfort/178826,diesel,1996 cc,163/3600 cv/rpm,400/1500-2500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"10,5 km/l","12,7 km/l","11,8 km/l",N/D,delantero - delantera,manual 6 velocidades,265/65/R17,discos ventilados - tambor,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,5330 mm,N/D,1930 mm,1835 mm,3180 mm,N/D,80 l,2025 kg,800 / 1000 kg,226 mm,600 mm,29°,27°,25°,3500 kg,N/D,N/D,N/D,N/D,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces de marcha diurna, con luces led, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan hunter comfort 2.0t 4X4 MT 2024.0,changan,hunter comfort 2.0t,,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/changan/hunter/comfort-4x4/178828,diesel,1996 cc,163/3600 cv/rpm,400/1500-2500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"10,5 km/l","12,7 km/l","11,8 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - discos sólidos,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,5330 mm,N/D,1930 mm,1875 mm,3180 mm,N/D,80 l,2025 kg,800 / 1000 kg,226 mm,600 mm,29°,27°,25°,3500 kg,N/D,N/D,N/D,N/D,manual,sí,"con ajuste en altura, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces de marcha diurna, con luces led, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 10""","control de ascenso en pendientes, control de descenso en pendientes",sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan hunter elite sport 2.0t 4X4 MT 2024.0,changan,hunter elite sport 2.0t,,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/changan/hunter/elite-sport-4x4/178829,diesel,1996 cc,163/3600 cv/rpm,400/1500-2500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"10,5 km/l","12,7 km/l","11,8 km/l",N/D,delantero - integral,manual 6 velocidades,265/60/R18,discos ventilados - discos sólidos,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,5330 mm,N/D,1930 mm,1875 mm,3180 mm,N/D,80 l,2135 kg,800 / 1000 kg,226 mm,600 mm,29°,27°,25°,3500 kg,N/D,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico solo conductor, con ajuste en altura",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con encendido y apagado automático, con luces de marcha diurna, con luces led, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",interna solo tapa de combustible,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina)",inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",6,sí,sí,"táctil de 10""","control de ascenso en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego",sí,sí,"con botón, con sistema remoto",sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan hunter luxury 2.0t 4X2 MT 2024.0,changan,hunter luxury 2.0t,,4X2,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/changan/hunter/luxury/178827,diesel,1996 cc,163/3600 cv/rpm,400/1500-2500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"10,5 km/l","12,7 km/l","11,8 km/l",N/D,delantero - delantera,manual 6 velocidades,265/65/R17,discos ventilados - discos sólidos,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,5330 mm,N/D,1930 mm,1875 mm,3180 mm,N/D,80 l,2025 kg,800 / 1000 kg,226 mm,600 mm,29°,27°,25°,3500 kg,N/D,N/D,N/D,N/D,climatizador,sí,"con ajuste en altura, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con luces de marcha diurna, con luces led, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 10""","control de ascenso en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego",sí,sí,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changan md 301 ac esp MT 2024.0,changan,md 301 ac esp,,,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/changan/md201-pick-up/12l-ac/178842,bencina,1243 cc,97/6000 cv/rpm,119/4800 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"11,6 km/l","15,9 km/l","14,0 km/l",N/D,delantero - trasera,manual 5 velocidades,N/D,discos ventilados - tambor,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,4564 mm,1645 mm,N/D,1870 mm,2900 mm,N/D,40 l,2150 kg,1000 kg,155 mm,,30°,,,,,,,,manual,N/D,con ajuste eléctrico,no tiene,tela,manual,eléctricos - no tiene,manuales,antideslumbrante manual,fijos,delanteros y traseros,,no tiene,acero,no tiene,sin regulación,,,,,no tiene,N/D,,delanteros inerciales,,,AM - FM,2,sí,,,,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
