marca,modelo,numero licitacion,id producto,tipo producto
changan,hunter 1.9l comfort,2239-4-lr17,1670361,camioneta
changan,hunter 1.9l comfort 4x4,2239-4-lr17,1670362,camioneta
changan,hunter 1.9l elite 4x4,2239-4-lr17,1670363,camioneta
changan,hunter 1.9l luxury,2239-4-lr17,1670364,camioneta
changan,hunter 1.9l luxury 4x4,2239-4-lr17,1670365,camioneta
changan,hunter comfort 2.0t 4x2 mt 2024,2239-8-lr23,2048977,camioneta
changan,hunter comfort 2.0t 4x2 mt 2024,2239-8-lr23,2048979,camioneta
changan,hunter comfort 2.0t 4x2 mt 2025,2239-8-lr23,2250679,camioneta
changan,hunter comfort 2.0t 4x2 mt 2025,2239-8-lr23,2250681,camioneta
changan,hunter comfort 2.0t 4x4 mt 2024,2239-8-lr23,2049011,camioneta
changan,hunter comfort 2.0t 4x4 mt 2024,2239-8-lr23,2049013,camioneta
changan,hunter comfort 2.0t 4x4 mt 2025,2239-8-lr23,2250713,camioneta
changan,hunter comfort 2.0t 4x4 mt 2025,2239-8-lr23,2250715,camioneta
changan,hunter elite sport 2.0t 4x4 mt 2024,2239-8-lr23,2049028,camioneta
changan,hunter elite sport 2.0t 4x4 mt 2024,2239-8-lr23,2049030,camioneta
changan,hunter elite sport 2.0t 4x4 mt 2025,2239-8-lr23,2250730,camioneta
changan,hunter elite sport 2.0t 4x4 mt 2025,2239-8-lr23,2250732,camioneta
changan,hunter luxury 2.0t 4x2 mt 2024,2239-8-lr23,2048994,camioneta
changan,hunter luxury 2.0t 4x2 mt 2024,2239-8-lr23,2048996,camioneta
changan,hunter luxury 2.0t 4x2 mt 2025,2239-8-lr23,2250696,camioneta
changan,hunter luxury 2.0t 4x2 mt 2025,2239-8-lr23,2250698,camioneta
changan,md 301 ac esp mt 2024,2239-8-lr23,2049113,camioneta
changan,md 301 ac esp mt 2024,2239-8-lr23,2049115,camioneta
changan,md201 1.2l pick up,2239-4-lr17,1670404,camioneta
changan,md201 1.2l pick up ac,2239-4-lr17,1670405,camioneta
changan,md201 1.5l xl,2239-4-lr17,1670406,camioneta
changan,md201 1.5l xl ac,2239-4-lr17,1670407,camioneta
changan,md201 mt 2024,2239-8-lr23,2049045,camioneta
changan,md201 mt 2024,2239-8-lr23,2049047,camioneta
changan,md201 xl 1.5l mt 2024,2239-8-lr23,2049062,camioneta
changan,md201 xl 1.5l mt 2024,2239-8-lr23,2049064,camioneta
changan,md201 xl 1.5l mt 2024,2239-8-lr23,2049079,camioneta
changan,md201 xl 1.5l mt 2024,2239-8-lr23,2049081,camioneta
changan,ms 201 mt 2024,2239-8-lr23,2049096,camioneta
changan,ms 201 mt 2024,2239-8-lr23,2049098,camioneta
changan,ms 301 plus ac esp 2024,2239-8-lr23,2049130,camioneta
changan,ms 301 plus ac esp 2024,2239-8-lr23,2049132,camioneta
changan,ms201 1.2l pick-up,2239-4-lr17,1670408,camioneta
changan,ms201 1.2l pick-up plus,2239-4-lr17,1670409,camioneta
chevrolet,colorado 2.8l high country 4x4 aut,2239-4-lr17,1670294,camioneta
chevrolet,colorado 2.8l ltz 4x4,2239-4-lr17,1670295,camioneta
chevrolet,colorado 2.8l ltz 4x4 aut,2239-4-lr17,1670296,camioneta
chevrolet,colorado hc at 2.8td 4wd,2239-4-lr17,1670297,camioneta
chevrolet,colorado hc at 2.8td 4wd l,2239-4-lr17,1670298,camioneta
chevrolet,colorado high country 4x4 at 2024,2239-8-lr23,2042976,camioneta
chevrolet,colorado high country 4x4 at 2024,2239-8-lr23,2042977,camioneta
chevrolet,colorado high country 4x4 at 2024,2239-8-lr23,2042979,camioneta
chevrolet,colorado high country 4x4 at 2025,2239-8-lr23,2249539,camioneta
chevrolet,colorado high country 4x4 at 2025,2239-8-lr23,2249540,camioneta
chevrolet,colorado high country 4x4 at 2025,2239-8-lr23,2249541,camioneta
chevrolet,colorado high country 4x4 at 2025,2239-8-lr23,2249542,camioneta
chevrolet,colorado high country 4x4 at 2025,2239-8-lr23,2249543,camioneta
chevrolet,colorado high country 4x4 at 2025,2239-8-lr23,2249544,camioneta
chevrolet,colorado high country 4x4 at 2025,2239-8-lr23,2249545,camioneta
chevrolet,colorado high country 4x4 at 2025,2239-8-lr23,2249548,camioneta
chevrolet,colorado high country 4x4 at 2025,2239-8-lr23,2249550,camioneta
chevrolet,colorado ls 4x2 mt 2024,2239-8-lr23,2042890,camioneta
chevrolet,colorado ls 4x2 mt 2024,2239-8-lr23,2042891,camioneta
chevrolet,colorado ls 4x2 mt 2024,2239-8-lr23,2042892,camioneta
chevrolet,colorado ls 4x2 mt 2024,2239-8-lr23,2042893,camioneta
chevrolet,colorado ls 4x2 mt 2024,2239-8-lr23,2042894,camioneta
chevrolet,colorado ls 4x2 mt 2024,2239-8-lr23,2042895,camioneta
chevrolet,colorado ls 4x2 mt 2024,2239-8-lr23,2042901,camioneta
chevrolet,colorado ls 4x2 mt 2025,2239-8-lr23,2249454,camioneta
chevrolet,colorado ls 4x2 mt 2025,2239-8-lr23,2249455,camioneta
chevrolet,colorado ls 4x2 mt 2025,2239-8-lr23,2249456,camioneta
chevrolet,colorado ls 4x2 mt 2025,2239-8-lr23,2249457,camioneta
chevrolet,colorado ls 4x2 mt 2025,2239-8-lr23,2249458,camioneta
chevrolet,colorado ls 4x2 mt 2025,2239-8-lr23,2249459,camioneta
chevrolet,colorado ls 4x2 mt 2025,2239-8-lr23,2249460,camioneta
chevrolet,colorado ls 4x2 mt 2025,2239-8-lr23,2249463,camioneta
chevrolet,colorado ls 4x2 mt 2025,2239-8-lr23,2249465,camioneta
chevrolet,colorado lt 4x4 at 2024,2239-8-lr23,2042924,camioneta
chevrolet,colorado lt 4x4 at 2024,2239-8-lr23,2042925,camioneta
chevrolet,colorado lt 4x4 at 2024,2239-8-lr23,2042926,camioneta
chevrolet,colorado lt 4x4 at 2024,2239-8-lr23,2042927,camioneta
chevrolet,colorado lt 4x4 at 2024,2239-8-lr23,2042928,camioneta
chevrolet,colorado lt 4x4 at 2024,2239-8-lr23,2042929,camioneta
chevrolet,colorado lt 4x4 at 2024,2239-8-lr23,2042935,camioneta
chevrolet,colorado lt 4x4 at 2025,2239-8-lr23,2249488,camioneta
chevrolet,colorado lt 4x4 at 2025,2239-8-lr23,2249489,camioneta
chevrolet,colorado lt 4x4 at 2025,2239-8-lr23,2249490,camioneta
chevrolet,colorado lt 4x4 at 2025,2239-8-lr23,2249491,camioneta
chevrolet,colorado lt 4x4 at 2025,2239-8-lr23,2249492,camioneta
chevrolet,colorado lt 4x4 at 2025,2239-8-lr23,2249493,camioneta
chevrolet,colorado lt 4x4 at 2025,2239-8-lr23,2249494,camioneta
chevrolet,colorado lt 4x4 at 2025,2239-8-lr23,2249497,camioneta
chevrolet,colorado lt 4x4 at 2025,2239-8-lr23,2249499,camioneta
chevrolet,colorado lt 4x4 mt 2024,2239-8-lr23,2042907,camioneta
chevrolet,colorado lt 4x4 mt 2024,2239-8-lr23,2042908,camioneta
chevrolet,colorado lt 4x4 mt 2024,2239-8-lr23,2042909,camioneta
chevrolet,colorado lt 4x4 mt 2024,2239-8-lr23,2042910,camioneta
chevrolet,colorado lt 4x4 mt 2024,2239-8-lr23,2042911,camioneta
chevrolet,colorado lt 4x4 mt 2024,2239-8-lr23,2042912,camioneta
chevrolet,colorado lt 4x4 mt 2024,2239-8-lr23,2042918,camioneta
chevrolet,colorado lt 4x4 mt 2025,2239-8-lr23,2249471,camioneta
chevrolet,colorado lt 4x4 mt 2025,2239-8-lr23,2249472,camioneta
chevrolet,colorado lt 4x4 mt 2025,2239-8-lr23,2249473,camioneta
chevrolet,colorado lt 4x4 mt 2025,2239-8-lr23,2249474,camioneta
chevrolet,colorado lt 4x4 mt 2025,2239-8-lr23,2249475,camioneta
chevrolet,colorado lt 4x4 mt 2025,2239-8-lr23,2249476,camioneta
chevrolet,colorado lt 4x4 mt 2025,2239-8-lr23,2249477,camioneta
chevrolet,colorado lt 4x4 mt 2025,2239-8-lr23,2249480,camioneta
chevrolet,colorado lt 4x4 mt 2025,2239-8-lr23,2249482,camioneta
chevrolet,colorado lt at 2.8td 4wd m,2239-4-lr17,1670299,camioneta
chevrolet,colorado lt mt 2.8td 4wd m,2239-4-lr17,1670300,camioneta
chevrolet,colorado ltz 4x4 at 2024,2239-8-lr23,2042958,camioneta
chevrolet,colorado ltz 4x4 at 2024,2239-8-lr23,2042959,camioneta
chevrolet,colorado ltz 4x4 at 2024,2239-8-lr23,2042960,camioneta
chevrolet,colorado ltz 4x4 at 2024,2239-8-lr23,2042961,camioneta
chevrolet,colorado ltz 4x4 at 2024,2239-8-lr23,2042962,camioneta
chevrolet,colorado ltz 4x4 at 2024,2239-8-lr23,2042963,camioneta
chevrolet,colorado ltz 4x4 at 2024,2239-8-lr23,2042969,camioneta
chevrolet,colorado ltz 4x4 at 2025,2239-8-lr23,2249522,camioneta
