MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Model URL,Engine Simplified,Drive Simplified,Transmission Simplified,Version URL
CHANGAN,CAMIONETA,HUNTER COMFORT,2.0T,4X2,MT,2024,hunter comfort,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,20t,4x2,mt,https://www.autocosmos.cl/catalogo/2024/changan/hunter/comfort/176948
CHANGAN,CAMIONETA,HUNTER COMFORT,2.0T,4X4,MT,2024,hunter comfort,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,20t,4x4,mt,https://www.autocosmos.cl/catalogo/2024/changan/hunter/comfort-4x4/176950
CHANGAN,CAMIONETA,HUNTER ELITE SPORT,2.0T,4X4,MT,2024,hunter elite sport,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,20t,4x4,mt,https://www.autocosmos.cl/catalogo/2024/changan/hunter/elite-sport-4x4/176952
CHANGAN,CAMIONETA,HUNTER LUXURY,2.0T,4X2,MT,2024,hunter luxury,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,20t,4x2,mt,https://www.autocosmos.cl/catalogo/2024/changan/hunter/luxury/176949
CHANGAN,CAMIONETA,MD 301 AC ESP,,,MT,2024,md 301 ac esp,changan,,nan,nan,mt,
CHANGAN,CAMIONETA,MD201,,,MT,2024,md201,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-cargo-box,nan,nan,mt,https://www.autocosmos.cl/catalogo/2024/changan/md201-cargo-box/12l/176969
CHANGAN,CAMIONETA,MD201 XL,1.5L,,MT,2024,md201 xl,changan,,15l,nan,mt,
CHANGAN,CAMIONETA,MS 201,,,MT,2024,ms 201,changan,,nan,nan,mt,
CHANGAN,CAMIONETA,MS 301 PLUS AC ESP,,,,2024,ms 301 plus ac esp,changan,,nan,nan,nan,
CHEVROLET,CAMIONETA,COLORADO HIGH COUNTRY,,4X4,AT,2024,colorado high country,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4x4,at,https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-high-country-awd-aut/177006
CHEVROLET,CAMIONETA,COLORADO LS,,4X2,MT,2024,colorado ls,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-ltz-awd-aut/177009
