our_id,IDProductoCM,Unnamed: 0,Nro Licitación Pública,Id Convenio Marco,Convenio Marco,CodigoOC,NombreOC,Fecha Envío OC,EstadoOC,Proviene de Gran Compra,idGranCompra,Especificación del Comprador,Producto,Nombre Producto ONU,Tipo de Producto,Marca,Modelo,Precio Unitario,Cantidad,TotaLínea(Neto),Moneda,Monto Total OC Neto,Descuento Global OC,Cargos Adicionales OC,Subtotal OC,Impuestos,Monto Total OC,Rut Unidad de Compra,Unidad de Compra,Razón Social Comprador,Dirección Unidad Compra,Comuna Unidad Compra,Región Unidad de Compra,Institución,Sector,Rut Proveedor,Nombre Proveedor Sucursal,Nombre Empresa,Comuna del Proveedor,Región del Proveedor,Observaciones,Forma de Pago,Orgcode_Comprador,Entcode_Comprador,Orgcode_Proveedor,Entcode_Proveedor,model,marca,model name,engine,drive,transmission,year,version url,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Seguridad - Control de tracción,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Confort - Control de velocidad crucero,Confort - Encendido del motor,Seguridad - Control de estabilidad,Comunicación y entretenimiento - Apple Carplay / Android Auto,Comunicación y entretenimiento - Conexión USB,Confort - Limpialuneta,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Seguridad - Sensor de lluvia,Confort - Limitador de velocidad,Comunicación y entretenimiento - Wi-Fi,Confort - Puertas,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Confort - Palanca de cambios,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Sistema de video,Comunicación y entretenimiento - Sistema de navegación,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Comunicación y entretenimiento - Preinstalación teléfono,Motor - Potencia total sistema híbrido,Comunicación y entretenimiento - Disco rígido
3727.0,2034828,39052,2239-5-LR21,5800296.0,CM Adquisición de Vehículos SUV y Camionetas,4158-19-CM24,CAMIONETA TOYOTA SUV FORTUNER SRA 2.8 TD MT 4WD  COLOR SILVER,2024-01-18,Aceptada,No,,(2034828) SUV TOYOTA FORTUNER SR5 TDI 2.8 MT MACROZONA CENTRO 2024,SUV TOYOTA FORTUNER SR5 TDI 2.8 MT MACROZONA CENTRO 2024,Automóviles,SUV,TOYOTA,FORTUNER SR5 TDI 2.8 MT,31938152,1.0,31938152,CLP,31938152,0,0.0,31938152,"6068248,88","38006400,88",69.141.700-K,Salud,I.Municipalidad de El Carmen,Baquedano 385,El Carmen,Ñuble,Ilustre Municipalidad de El Carmen,Municipalidades,91.502.000-3,Salinas y Fabres S.A.,SALINAS Y FABRES SOCIEDAD ANONIMA,,,"ADQUISICION DE CAMIONETA TOYOTA SUV FORTUNER SRA 2.8 TD MT 4WD  COLOR SILVER SEGUN REQUERMIENTO N° 26 CON FECHA 18/01/2024  DECRETO EXENTO 94  17/01/2024  
SESION N° 99  DE FECHA 17/01/2024  ACUERDO N° 455  ADOPTADO POR H. CONCEJO MUNICIPAL ",30 dias contra la recepcion conforme de la factura,5077.0,123784.0,26569,26778,toyota fortuner sr5 tdi 2.8l 4X4 MT,toyota,fortuner sr5 tdi 2.8l,,4X4,MT,,https://www.autocosmos.cl/catalogo/2025/toyota/fortuner/28l-sr5-tdi-4x4/180018,diesel,2755 cc,201 cv/rpm,500 N·m/rpm,inyección directa turbo intercooler,4 en línea,16.0,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - discos sólidos,independiente de doble horquilla con barra estabilizadora,barra estabilizadora,4795 mm,1855 mm,N/D,1835 mm,2745 mm,N/D,80 l,N/D,N/D,227 mm,N/D,"29,0°","25,0°",N/D,2000 kg,750 kg,N/D,N/D,N/D,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",2da. fila abatibles 60/40 y 3ra. fila 50/50,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con apagado automático, con luces led",no tiene,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,táctil de 9'',"asistente para arranque en pendientes, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,sí,trasera,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550.0,2042525,29599,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,4062-187-CM24,Orden de Compra: 4062-187-CM24,2024-03-12,Recepcion Conforme,No,,(2042525) CAMIONETA MAXUS T60 E6 GL 4X4 MT 2024 REGIÓN XIV,CAMIONETA MAXUS T60 E6 GL 4X4 MT 2024 REGIÓN XIV,Automóviles,CAMIONETA,MAXUS,T60 E6 GL 4X4 MT 2024,20782800,1.0,20782800,CLP,20782800,0,199000.0,20981800,3986542,24968342,69.200.400-0,Finanzas,I MUNICIPALIDAD DE MARIQUINA,"calle padre placido S/N, Bodega Municipal, Sr. Ruben Solis encargado",Mariquina,Los Ríos,I MUNICIPALIDAD DE MARIQUINA,Municipalidades,79.649.970-2,SERVIMAQ SPA,AUTOMOTRIZ SERVIMAQ SPA,,,"Orden de Compra codigo: 4062-187-CM24 dirigida a AUTOMOTRIZ SERVIMAQ SPA
ADQUISICION DE CAMIONETA  COLOR BLANCO, MAXUS T60 E6 GL 4X4 MT2024.
DEBE INCLUIR DOCUMENTACION DEL VEHICULO VIGENTE A NOMBRE DE LA MUNICIPALIDAD DE MARIQUINA.
SP.N°2677 SEPCLAN",30 dias contra la recepcion conforme de la factura,4982.0,120001.0,100329,97856,maxus t60 e6 gl 4X4 MT 2024.0,maxus,t60 e6 gl,,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/maxus/t60/20l-gl-4x4/178573,diesel,2000 cc,163/3500 cv/rpm,400/1500-2400 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16.0,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,manual 6 velocidades,245/65/R17,discos ventilados - discos ventilados,independiente tipo McPherson,ballesta semielíptica,5395 mm,1900 mm,2145 mm,1809 mm,3155 mm,N/D,75 l,2000 kg,800 kg,215 mm,N/D,,,,3000 kg,750 kg,,,,manual,,"con ajuste en altura, con ajuste manual",N/D,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido y apagado automático, con regulación interna",traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",,delanteros y traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,,"AM - FM con lector MP3, con comandos de audio al volante",4,sí,sí,táctil de 7'',,,sí,,,sí,sí,,trasera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3771.0,2041399,34844,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,3577-41-CM24,Orden de Compra: 3577-41-CM24,2024-03-14,Aceptada,No,,(2041399) CAMIONETA TOYOTA HILUX DX 2.4 4X4 MT 2024 REGIÓN VIII,CAMIONETA TOYOTA HILUX DX 2.4 4X4 MT 2024 REGIÓN VIII,Automóviles,CAMIONETA,TOYOTA,HILUX DX 2.4 4X4 MT 2024,26819160,1.0,26819160,CLP,26819160,0,0.0,26819160,"5095640,4","31914800,4",61.929.100-K,Direccion Admin. Salud Municipal Florida,Direccion Admin. Salud Municipal Florida,Arturo Prat 675 - Florida- 8° Region,Florida,Metropolitana,I MUNICIPALIDAD DE FLORIDA,Municipalidades,84.807.200-1,BRUNO FRITSCH S.A.,BRUNO FRITSCH S.A. ,,,Orden de Compra codigo: 3577-41-CM24 dirigida a BRUNO FRITSCH S.A.,30 dias contra la recepcion conforme de la factura,4497.0,115285.0,24507,24823,toyota hilux dx 2.4 4X4 MT,toyota,hilux dx,2.4,4X4,MT,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16.0,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179.0,2041534,35206,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,3030-177-CM24,CAMIONETA JMC PARA DEPTO. DE SALUD ,2024-03-14,Aceptada,No,,(2041534) CAMIONETA JMC VIGUS NEW WORK 4X4 MT 2024 REGIÓN VII,CAMIONETA JMC VIGUS NEW WORK 4X4 MT 2024 REGIÓN VII,Automóviles,CAMIONETA,JMC,VIGUS NEW WORK 4X4 MT 2024,14550900,1.0,14550900,CLP,14550900,0,120000.0,14670900,2787471,17458371,69.130.800-6,Dpto. de Salud,Ilustre Municipalidad de Retiro,"Errázuriz Nº 240, Oficina de Adquisiciones, 2°  piso",,Maule,Ilustre Municipalidad de Retiro,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,CAMIONETA JMC VIGUS NEW WORK 4X4 MT 2024 PARA DEPARTAMENTO DE SALUD RETIRO,30 dias contra la recepcion conforme de la factura,3978.0,113252.0,32639,32414,jmc vigus new work 4X4 MT 2024.0,jmc,vigus new work,,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/jmc/vigus-work/25l-4x4/179302,diesel,2500 cc,140 cv/rpm,315/1800-2600 N·m/rpm,inyección directa turbo,4 en línea,16.0,sí,no,N/D,"11,4 km/l","14,9 km/l","13,3 km/l",N/D,delantero - integral,manual 5 velocidades,245/70/R16,discos ventilados - discos ventilados,barra de torsión,resortes helicoidales,5410 mm,1905 mm,N/D,1795 mm,3085 mm,N/D,67 l,1930 kg,845 kg,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,con regulación interna,delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 10""",,sí,,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3771.0,2041392,40531,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,2381-308-CM24,ADQUISICIÓN DE 01 CAMIONETA TODO TERRENO PARA LA DIRECCIÓN DE SALUD MUNICIPAL ,2024-03-18,Aceptada,No,,(2041392) CAMIONETA TOYOTA HILUX DX 2.4 4X4 MT 2024 REGIÓN III,CAMIONETA TOYOTA HILUX DX 2.4 4X4 MT 2024 REGIÓN III,Automóviles,CAMIONETA,TOYOTA,HILUX DX 2.4 4X4 MT 2024,26819160,1.0,26819160,CLP,26819160,0,0.0,26819160,"5095640,4","31914800,4",69.030.200-4,DEPARTAMENTO DE ADQUISICIONES DASM,I MUNICIPALIDAD DE COPIAPO,CHACABUCO 857,Copiapó,Atacama,I MUNICIPALIDAD DE COPIAPO,Municipalidades,84.807.200-1,BRUNO FRITSCH S.A.,BRUNO FRITSCH S.A. ,,,ADQUISICIÓN DE 01 CAMIONETA TODO TERRENO PARA LA DIRECCIÓN DE SALUD MUNICIPAL (COLOR GRIS PLATA),30 dias contra la recepcion conforme de la factura,3373.0,86872.0,24507,24823,toyota hilux dx 2.4 4X4 MT,toyota,hilux dx,2.4,4X4,MT,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16.0,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2177.0,2041566,41000,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,316-212-CM24,Orden de Compra: 316-212-CM24,2024-03-20,Aceptada,No,,(2041566) CAMIONETA JMC VIGUS NEW PLUS 4X4 MT 2024 REGIÓN V,CAMIONETA JMC VIGUS NEW PLUS 4X4 MT 2024 REGIÓN V,Automóviles,CAMIONETA,JMC,VIGUS NEW PLUS 4X4 MT 2024,16191000,1.0,16191000,CLP,16191000,0,0.0,16191000,3076290,19267290,69.061.500-2,ADQUISICIONES,I MUNICIPALIDAD DE VILLA ALEMANA,"CALLE BUENOS AIRES 850, SEGUNDO PISO (2) UNIDAD DE INFORMATICA",Villa Alemana,Valparaíso,Ilustre Municipalidad de Villa Alemana,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,Orden de Compra codigo: 316-212-CM24 dirigida a AUTOMOTRIZ CORDILLERA S.A.,30 dias contra la recepcion conforme de la factura,1313.0,7233.0,32639,32414,jmc vigus new plus 4X4 MT 2024.0,jmc,vigus new plus,,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/jmc/vigus-plus/24l-4x4/179306,diesel,2398 cc,138/3600 cv/rpm,310/2000-2400 N·m/rpm,inyección directa turbo,4 en línea,16.0,sí,no,N/D,"9,9 km/l","12,9 km/l","12,5 km/l",N/D,delantero - integral,manual 5 velocidades,265/65/R17,discos ventilados - discos sólidos,McPherson,resortes helicoidales,5375 mm,1905 mm,N/D,1835 mm,3085 mm,N/D,68 l,1985 kg,805 kg,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,táctil de 7'',,sí,sí,,,,sí,,trasera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172.0,2041616,41730,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,5153-609-CM24,Orden de Compra: (JSR) - CAMIONETA JMC GRAND AVENUE 4X2 MT 2024 /OCI- 177858      ,2024-03-18,Aceptada,No,,(2041616) CAMIONETA JMC GRAND AVENUE 4X2 MT 2024 REGIÓN RM,CAMIONETA JMC GRAND AVENUE 4X2 MT 2024 REGIÓN RM,Automóviles,CAMIONETA,JMC,GRAND AVENUE 4X2 MT 2024,17470800,1.0,17470800,CLP,17470800,0,0.0,17470800,3319452,20790252,60.910.000-1,Hospital Clínico Univ. de Chile-Insumos Generales,UNIVERSIDAD DE CHILE,Avenida Santos Dumont N° 999				,Independencia,Metropolitana,Universidad de Chile,"Gob. Central, Universidades",79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,"FACTURAR:
Razón social:   UNIVERSIDAD DE CHILE
Giro:                 ACTIVIDADES DE HOSPITALES Y CLINICAS PUBLICAS
Rut:                  60.910.000-1
Dirección:        DR CARLOS LORCA TOBAR #999 
Comuna:          INDEPENDENCIA 
Cuidad:             SANTIA",30 dias contra la recepcion conforme de la factura,6066.0,7251.0,32639,32414,jmc grand avenue 4X2 MT 2024.0,jmc,grand avenue,,4X2,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/jmc/grand-avenue/23l-4x2/179309,diesel,2398 cc,174/3600 cv/rpm,445/1500-2400 N·m/rpm,inyección directa turbo,4 en línea,16.0,sí,no,N/D,"9,3 km/l","14,9 km/l","12,2 km/l",N/D,delantero - trasera,manual 6 velocidades,265/65/R17,discos ventilados - discos sólidos,McPherson,resortes helicoidales,5450 mm,1935 mm,N/D,1872 mm,3270 mm,N/D,67 l,1985 kg,800 kg,N/D,,,,,3500 kg,2000 kg,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,delanteros y traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 10,1""","asistente para arranque en pendientes, control de descenso en pendientes",sí,sí,,sí,sí,sí,,trasera,,,,,,sí,,,,,,,,,,,,,,,,,,,,,,,,
2253.0,2043196,41866,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,3887-278-CM24,Adquisición de vehículo  ,2024-03-18,Aceptada,No,,(2043196) CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN IX,CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN IX,Automóviles,CAMIONETA,KIA,FRONTIER D/C LX 2.5L AV AB MT 2024,22168824,1.0,22168824,CLP,22168824,0,185000.0,22353824,"4247226,56","26601050,56",69.191.500-K,I MUNICIPALIDAD DE VILLARRICA,I MUNICIPALIDAD DE VILLARRICA,"General Urrutia N°375, DAEM",Villarrica,Araucanía,I MUNICIPALIDAD DE VILLARRICA,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,"Solicitud N° 66217 de SECPLAN. 

La recepción de productos y servicios, se harán solamente cuando esta venga acompañada de la correspondiente guía de despacho y/o factura timbrada por el SII, indicando el número de la OC que corresponda (campo 801 en SII)",30 dias contra la recepcion conforme de la factura,4807.0,118084.0,32639,32414,kia frontier d/c lx 2.5l av ab MT 2024.0,kia,frontier d/c lx 2.5l av ab,,,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/kia/frontier/25l-deluxe/179347,diesel,2497 cc,129/3800 cv/rpm,255/1500-3500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16.0,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - trasera,manual 6 velocidades,,discos ventilados - tambor,horquilla doble con barra de torsión,resortes helicoidales,5125 mm,1740 mm,N/D,1995 mm,2615 mm,N/A dm3,65 l,1580 kg,1660 kg,355 mm,,,,,N/D,N/D,,,,manual,,con ajuste manual,no tiene,tela,centralizado,eléctricos - no tiene,manuales,antideslumbrante manual,fijos,delanteros,sí,hidráulica,acero,no tiene,con ajuste en altura,,traseros,,,conductor y acompañante,N/D,,delanteros inerciales,sí,,AM - FM,N/D,,sí,táctil de 7'',sistema de bloqueo electrónico diferencial,,,,sí,sí,,,trasera,,,,,,,,,,,,,,,,,195/R15,R12,,,,,,,,,,,,
2253.0,2043197,42815,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,3597-217-CM24,Orden de Compra: 3597-217-CM24,2024-03-19,Recepcion Conforme,No,,(2043197) CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,Automóviles,CAMIONETA,KIA,FRONTIER D/C LX 2.5L AV AB MT 2024,22412437,1.0,22412437,CLP,22412437,0,0.0,22412437,"4258363,03","26670800,03",69.040.500-8,Ilustre Municipalidad de Vicuña,I MUNICIPALIDAD DE VICUNA,"San Martín  275, Vicuña",Vicuña,Coquimbo,I MUNICIPALIDAD DE VICUNA,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,"Adquisición de Camioneta Kía Frontier D/C, solicitada por Unidad de Movilización, a través de Convenio Marco.",30 dias contra la recepcion conforme de la factura,4517.0,115303.0,32639,32414,kia frontier d/c lx 2.5l av ab MT 2024.0,kia,frontier d/c lx 2.5l av ab,,,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/kia/frontier/25l-deluxe/179347,diesel,2497 cc,129/3800 cv/rpm,255/1500-3500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16.0,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - trasera,manual 6 velocidades,,discos ventilados - tambor,horquilla doble con barra de torsión,resortes helicoidales,5125 mm,1740 mm,N/D,1995 mm,2615 mm,N/A dm3,65 l,1580 kg,1660 kg,355 mm,,,,,N/D,N/D,,,,manual,,con ajuste manual,no tiene,tela,centralizado,eléctricos - no tiene,manuales,antideslumbrante manual,fijos,delanteros,sí,hidráulica,acero,no tiene,con ajuste en altura,,traseros,,,conductor y acompañante,N/D,,delanteros inerciales,sí,,AM - FM,N/D,,sí,táctil de 7'',sistema de bloqueo electrónico diferencial,,,,sí,sí,,,trasera,,,,,,,,,,,,,,,,,195/R15,R12,,,,,,,,,,,,
2547.0,2042487,47541,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,1305504-28-CM24,JQ P01 Vehículo institucional,2024-03-21,Recepcion Conforme,No,,(2042487) CAMIONETA MAXUS T60 DX E6 4X4 MT 2024 REGIÓN VIII,CAMIONETA MAXUS T60 DX E6 4X4 MT 2024 REGIÓN VIII,Automóviles,CAMIONETA,MAXUS,T60 DX E6 4X4 MT 2024,19175200,1.0,19175200,CLP,19175200,0,0.0,19175200,3643288,22818488,61.981.100-3,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ANDALIÉN CO,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ANDALIÉN CO,"José Cardenio Avello 294, Teatro de Santa Juana",Santa Juana,Bío-Bío,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ANDALIÉN COSTA,Otros,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,Orden de Compra codigo: 1305504-28-CM24 dirigida a AUTOMOTRIZ CORDILLERA S.A.,30 dias contra la recepcion conforme de la factura,1305504.0,1890597.0,32639,32414,maxus t60 dx e6 4X4 MT 2024.0,maxus,t60 dx e6,,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/maxus/t60/20l-dx-4x4/178567,diesel,2000 cc,163/3500 cv/rpm,400/1500-2400 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16.0,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,manual 6 velocidades,245/70/R16,discos ventilados - discos ventilados,independiente tipo McPherson,ballesta semielíptica,5395 mm,1900 mm,2145 mm,1809 mm,3155 mm,N/D,73 l,1900 kg,1000 kg,215 mm,N/D,,,,3000 kg,750 kg,,,,manual,,"con ajuste en altura, con ajuste manual",N/D,tela,centralizado con comando a distancia,eléctricos - eléctricos,manuales,antideslumbrante manual,con regulación interna,traseros,sí,hidráulica,aleación,no tiene,con ajuste en altura,,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,,AM - FM con lector MP3,4,sí,sí,,,,,,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
