Model URL,Versions
https://www.autocosmos.cl/catalogo/vigente/changan/hunter,Changan Hunter  Comfort: https://www.autocosmos.cl/catalogo/2024/changan/hunter/comfort/176948; Changan Hunter  Luxury: https://www.autocosmos.cl/catalogo/2024/changan/hunter/luxury/176949; Changan Hunter  Comfort 4x4: https://www.autocosmos.cl/catalogo/2024/changan/hunter/comfort-4x4/176950; Changan Hunter  Elite Sport 4x4: https://www.autocosmos.cl/catalogo/2024/changan/hunter/elite-sport-4x4/176952
https://www.autocosmos.cl/catalogo/vigente/changan/md201-cargo-box,Changan MD201 Cargo Box 1.2L: https://www.autocosmos.cl/catalogo/2024/changan/md201-cargo-box/12l/176969; Changan MD201 Cargo Box 1.2L Ac: https://www.autocosmos.cl/catalogo/2024/changan/md201-cargo-box/12l-ac/176970
https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,Chevrolet Colorado  2.8L Worktruck Flota B1: https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-worktruck-flota-b1/178501; Chevrolet Colorado  2.8L Worktruck: https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-worktruck/178471; Chevrolet Colorado  2.8L Worktruck AWD: https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-worktruck-awd/178472; Chevrolet Colorado  2.8L Worktruck AWD Aut: https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-worktruck-awd-aut/178473; Chevrolet Colorado  2.8L Z71 AWD Aut: https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-z71-awd-aut/178474; Chevrolet Colorado  2.8L LTZ AWD Aut: https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-ltz-awd-aut/177009; Chevrolet Colorado  2.8L High Country AWD Aut: https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-high-country-awd-aut/177006
https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado-z71,Chevrolet Colorado Z71 2.8L Aut AWD: https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado-z71/28l-aut-awd/177022
https://www.autocosmos.cl/catalogo/vigente/chevrolet/montana,Chevrolet Montana  LT 1.2: https://www.autocosmos.cl/catalogo/2024/chevrolet/montana/lt-12/177046; Chevrolet Montana  Premier 1.2 Aut: https://www.autocosmos.cl/catalogo/2024/chevrolet/montana/premier-12-aut/177034; Chevrolet Montana  LTZ 1.2 Aut S: https://www.autocosmos.cl/catalogo/2024/chevrolet/montana/ltz-12-aut-s/178469; Chevrolet Montana  RS 1.2 Aut: https://www.autocosmos.cl/catalogo/2024/chevrolet/montana/rs-12-aut/177047; Chevrolet Montana  LTZ 1.2 Aut R: https://www.autocosmos.cl/catalogo/2024/chevrolet/montana/ltz-12-aut-r/178470; Chevrolet Montana  Premier 1.2 Aut S: https://www.autocosmos.cl/catalogo/2024/chevrolet/montana/premier-12-aut-s/178520
https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado,Chevrolet Silverado 5.3L LT Trailboss 4x4: https://www.autocosmos.cl/catalogo/2024/chevrolet/silverado/53l-lt-trailboss-4x4/177023; Chevrolet Silverado 6.2L ZR2 4x4: https://www.autocosmos.cl/catalogo/2024/chevrolet/silverado/62l-zr2-4x4/177024; Chevrolet Silverado 3.0L High Country 4x4: https://www.autocosmos.cl/catalogo/2024/chevrolet/silverado/30l-high-country-4x4/177025
https://www.autocosmos.cl/catalogo/vigente/dfsk/d1,DFSK D1 Comfort: https://www.autocosmos.cl/catalogo/2024/dfsk/d1/comfort/177103; DFSK D1 Luxury: https://www.autocosmos.cl/catalogo/2024/dfsk/d1/luxury/177104; DFSK D1 Luxury Aut: https://www.autocosmos.cl/catalogo/2024/dfsk/d1/luxury-aut/177105
https://www.autocosmos.cl/catalogo/vigente/ford/maverick,Ford Maverick 2.0L XLT: https://www.autocosmos.cl/catalogo/2024/ford/maverick/20l-xlt/177183; Ford Maverick 2.0L Lariat 4x4: https://www.autocosmos.cl/catalogo/2024/ford/maverick/20l-lariat-4x4/177184
https://www.autocosmos.cl/catalogo/vigente/ford/ranger,Ford Ranger 2.0L XL 4x2: https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xl-4x2/177193; Ford Ranger 2.0L XLS 4x2: https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xls-4x2/177195; Ford Ranger 2.0L XL 4x4: https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xl-4x4/177194; Ford Ranger 2.0L XLS 4x4: https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xls-4x4/177196; Ford Ranger 2.0L XLT 4x2 Aut: https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xlt-4x2-aut/177197; Ford Ranger 2.0L XLT 4x4: https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xlt-4x4/177198; Ford Ranger 2.0L XLT 4x4 Aut: https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xlt-4x4-aut/177199; Ford Ranger 3.0L Limited 4x4 Aut: https://www.autocosmos.cl/catalogo/2024/ford/ranger/30l-limited-4x4-aut/177200
https://www.autocosmos.cl/catalogo/vigente/foton/g7,Foton G7 2.0L Lite 4x2: https://www.autocosmos.cl/catalogo/2024/foton/g7/20l-lite-4x2/177212; Foton G7 2.0L Ultimate 4x2: https://www.autocosmos.cl/catalogo/2024/foton/g7/20l-ultimate-4x2/177216; Foton G7 2.0L Lite 4x4: https://www.autocosmos.cl/catalogo/2024/foton/g7/20l-lite-4x4/177213; Foton G7 2.0L Ultimate 4x4: https://www.autocosmos.cl/catalogo/2024/foton/g7/20l-ultimate-4x4/177217
https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,Great Wall Poer Elite 4x2: https://www.autocosmos.cl/catalogo/2024/great-wall/poer/elite-4x2/177251; Great Wall Poer Elite 4x2 Pant: https://www.autocosmos.cl/catalogo/2024/great-wall/poer/elite-4x2-pant/178403; Great Wall Poer Deluxe 4x2: https://www.autocosmos.cl/catalogo/2024/great-wall/poer/deluxe-4x2/177249; Great Wall Poer Elite 4x4: https://www.autocosmos.cl/catalogo/2024/great-wall/poer/elite-4x4/177252; Great Wall Poer Elite 4x4 Pant: https://www.autocosmos.cl/catalogo/2024/great-wall/poer/elite-4x4-pant/178404; Great Wall Poer Deluxe 4x4: https://www.autocosmos.cl/catalogo/2024/great-wall/poer/deluxe-4x4/177250
https://www.autocosmos.cl/catalogo/vigente/jac/t8,JAC T8 2.0L Comfort 4x2: https://www.autocosmos.cl/catalogo/2024/jac/t8/20l-comfort-4x2/177371; JAC T8 2.0L Advance 4x2: https://www.autocosmos.cl/catalogo/2024/jac/t8/20l-advance-4x2/177373; JAC T8 2.0L Advance 4x4: https://www.autocosmos.cl/catalogo/2024/jac/t8/20l-advance-4x4/177374
https://www.autocosmos.cl/catalogo/vigente/jmc/grand-avenue,JMC Grand Avenue 2.3L 4x2: https://www.autocosmos.cl/catalogo/2024/jmc/grand-avenue/23l-4x2/178305; JMC Grand Avenue 2.3L 4x4: https://www.autocosmos.cl/catalogo/2024/jmc/grand-avenue/23l-4x4/178306; JMC Grand Avenue 2.3L 4x2 Aut: https://www.autocosmos.cl/catalogo/2024/jmc/grand-avenue/23l-4x2-aut/178307; JMC Grand Avenue 2.3L 4x4 Aut: https://www.autocosmos.cl/catalogo/2024/jmc/grand-avenue/23l-4x4-aut/178308
https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-ev,JMC Vigus EV Vigus EV: https://www.autocosmos.cl/catalogo/2024/jmc/vigus-ev/vigus-ev/177431
https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-plus,JMC Vigus Plus 2.4L 4x2: https://www.autocosmos.cl/catalogo/2024/jmc/vigus-plus/24l-4x2/177433; JMC Vigus Plus 2.4L 4x4: https://www.autocosmos.cl/catalogo/2024/jmc/vigus-plus/24l-4x4/177434
https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-work,JMC Vigus Work 2.5L 4x2: https://www.autocosmos.cl/catalogo/2024/jmc/vigus-work/25l-4x2/177429; JMC Vigus Work 2.5L 4x4: https://www.autocosmos.cl/catalogo/2024/jmc/vigus-work/25l-4x4/177430
https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-pro,JMC Vigus Pro 2.0L 4x2 Aut: https://www.autocosmos.cl/catalogo/2024/jmc/vigus-pro/20l-4x2-aut/177435; JMC Vigus Pro 2.0L 4x4 Aut: https://www.autocosmos.cl/catalogo/2024/jmc/vigus-pro/20l-4x4-aut/177436
https://www.autocosmos.cl/catalogo/vigente/karry/q52,Karry Q52 1.6L: https://www.autocosmos.cl/catalogo/2024/karry/q52/16l/177448
https://www.autocosmos.cl/catalogo/vigente/kia/frontier,Kia Frontier 2.5L Deluxe: https://www.autocosmos.cl/catalogo/2024/kia/frontier/25l-deluxe/177492
https://www.autocosmos.cl/catalogo/vigente/maxus/t60,Maxus T60 2.4L DX 4x2: https://www.autocosmos.cl/catalogo/2025/maxus/t60/24l-dx-4x2/178571; Maxus T60 2.8L DX 4x2 CS: https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-dx-4x2-cs/178566; Maxus T60 2.8L GL 4x2: https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-gl-4x2/178569; Maxus T60 2.8L GL 4x2 Aut: https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-gl-4x2-aut/178570; Maxus T60 2.8L DX 4x4: https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-dx-4x4/178567; Maxus T60 2.8L GL 4x4: https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-gl-4x4/178573; Maxus T60 2.8L Ancap 4x4: https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-ancap-4x4/178572; Maxus T60 2.8L GLX 4x4 Aut: https://www.autocosmos.cl/catalogo/2025/maxus/t60/28l-glx-4x4-aut/178574
