MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year
CHANGAN,CAMIONETA,HUNTER COMFORT,2.0T,4X2,MT,2024
CHANGAN,CAMIONETA,HUNTER COMFORT,2.0T,4X4,MT,2024
CHANGAN,CAMIONETA,HUNTER ELITE SPORT,2.0T,4X4,MT,2024
CHANGAN,CAMIONETA,HUNTER LUXURY,2.0T,4X2,MT,2024
CHANGAN,CAMIONETA,MD 301 AC ESP,,,MT,2024
CHANGAN,CAMIONETA,MD201,,,MT,2024
CHANGAN,CAMIONETA,MD201 XL,1.5L,,MT,2024
CHANGAN,CAMIONETA,MS 201,,,MT,2024
CHANGAN,CAMIONETA,MS 301 PLUS AC ESP,,,,2024
CHEVROLET,CAMIONETA,COLORADO HIGH COUNTRY,,4X4,AT,2024
CHEVROLET,CAMIONETA,COLORADO LS,,4X2,MT,2024
CHEVROLET,CAMIONETA,COLORADO LT,,4X4,AT,2024
CHEVROLET,CAMIONETA,COLORADO LT,,4X4,MT,2024
CHEVROLET,CAMIONETA,COLORADO LTZ,,4X4,AT,2024
CHEVROLET,CAMIONETA,COLORADO Z71,,4X4,AT,2024
CHEVROLET,CAMIONETA,MONTANA T LT,1.2,,MT,2024
CHEVROLET,CAMIONETA,MONTANA T LTZ,1.2,,AT,2024
CHEVROLET,CAMIONETA,MONTANA T PREMIER,1.2,,AT,2024
CHEVROLET,CAMIONETA,MONTANA T PREMIER,1.2,,MT,2024
CHEVROLET,CAMIONETA,MONTANA T RS,1.2,,AT,2024
CHEVROLET,CAMIONETA,SILVERADO HC TD,3.0,4X4,AT,2024
CHEVROLET,CAMIONETA,SILVERADO LT TRAIL BOSS Z71 V8,5.3L,4X4,AT,2024
CHEVROLET,CAMIONETA,SILVERADO ZR2 V8,6.2L,4X4,AT,2024
DFSK,CAMIONETA,D1 CONFORT,,4X2,MT,2024
DFSK,CAMIONETA,D1 LUXURY,,4X4,AT,2024
DFSK,CAMIONETA,D1 LUXURY,,4X4,MT,2024
DONGFENG,CAMIONETA,DF 212 CS,,,MT,2024
FORD,CAMIONETA,MAVERICK LARIAT FX4 HEV,,,AT,2024
FORD,CAMIONETA,MAVERICK XLT,2.0,4X2,AT,2024
FORD,CAMIONETA,RANGER DSL LIMITED,3.0,4X4,AT,2024
FORD,CAMIONETA,RANGER DSL XL,2.0,4X2,MT,2024
FORD,CAMIONETA,RANGER DSL XL,2.0,4X4,MT,2024
FORD,CAMIONETA,RANGER DSL XLS,2.0,4X2,MT,2024
FORD,CAMIONETA,RANGER DSL XLS,2.0,4X4,MT,2024
FORD,CAMIONETA,RANGER DSL XLT,2.0,4X2,AT,2024
FORD,CAMIONETA,RANGER DSL XLT,2.0,4X4,AT,2024
FORD,CAMIONETA,RANGER DSL XLT,2.0,4X4,MT,2024
FOTON,CAMIONETA,G7 LITE,,4X4,,2024
FOTON,CAMIONETA,G7 ULTIMATE,,4X2,,2024
