MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Model URL
CHANGAN,CAMIONETA,HUNTER COMFORT,2.0T,4X2,MT,2024,hunter comfort,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
CHANGAN,CAMIONETA,HUNTER COMFORT,2.0T,4X4,MT,2024,hunter comfort,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
CHANGAN,CAMIONETA,HUNTER ELITE SPORT,2.0T,4X4,MT,2024,hunter elite sport,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
CHANGAN,CAMIONETA,HUNTER LUXURY,2.0T,4X2,MT,2024,hunter luxury,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
CHANGAN,CAMIONETA,MD 301 AC ESP,,,MT,2024,md 301 ac esp,changan,
CHANGAN,CAMIONETA,MD201,,,MT,2024,md201,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-cargo-box
CHANGAN,CAMIONETA,MD201 XL,1.5L,,MT,2024,md201 xl,changan,
CHANGAN,CAMIONETA,MS 201,,,MT,2024,ms 201,changan,
CHANGAN,CAMIONETA,MS 301 PLUS AC ESP,,,,2024,ms 301 plus ac esp,changan,
CHEVROLET,CAMIONETA,COLORADO HIGH COUNTRY,,4X4,AT,2024,colorado high country,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
CHEVROLET,CAMIONETA,COLORADO LS,,4X2,MT,2024,colorado ls,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
CHEVROLET,CAMIONETA,COLORADO LT,,4X4,AT,2024,colorado lt,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
CHEVROLET,CAMIONETA,COLORADO LT,,4X4,MT,2024,colorado lt,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
CHEVROLET,CAMIONETA,COLORADO LTZ,,4X4,AT,2024,colorado ltz,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
CHEVROLET,CAMIONETA,COLORADO Z71,,4X4,AT,2024,colorado z71,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado-z71
CHEVROLET,CAMIONETA,MONTANA T LT,1.2,,MT,2024,montana t lt,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/montana
CHEVROLET,CAMIONETA,MONTANA T LTZ,1.2,,AT,2024,montana t ltz,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/montana
CHEVROLET,CAMIONETA,MONTANA T PREMIER,1.2,,AT,2024,montana t premier,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/montana
CHEVROLET,CAMIONETA,MONTANA T PREMIER,1.2,,MT,2024,montana t premier,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/montana
CHEVROLET,CAMIONETA,MONTANA T RS,1.2,,AT,2024,montana t rs,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/montana
CHEVROLET,CAMIONETA,SILVERADO HC TD,3.0,4X4,AT,2024,silverado hc td,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado
CHEVROLET,CAMIONETA,SILVERADO LT TRAIL BOSS Z71 V8,5.3L,4X4,AT,2024,silverado lt trail boss z71 v8,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado
CHEVROLET,CAMIONETA,SILVERADO ZR2 V8,6.2L,4X4,AT,2024,silverado zr2 v8,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado
DFSK,CAMIONETA,D1 CONFORT,,4X2,MT,2024,d1 confort,dfsk,https://www.autocosmos.cl/catalogo/vigente/dfsk/d1
DFSK,CAMIONETA,D1 LUXURY,,4X4,AT,2024,d1 luxury,dfsk,https://www.autocosmos.cl/catalogo/vigente/dfsk/d1
DFSK,CAMIONETA,D1 LUXURY,,4X4,MT,2024,d1 luxury,dfsk,https://www.autocosmos.cl/catalogo/vigente/dfsk/d1
DONGFENG,CAMIONETA,DF 212 CS,,,MT,2024,df 212 cs,dongfeng,
FORD,CAMIONETA,MAVERICK LARIAT FX4 HEV,,,AT,2024,maverick lariat fx4 hev,ford,https://www.autocosmos.cl/catalogo/vigente/ford/maverick
FORD,CAMIONETA,MAVERICK XLT,2.0,4X2,AT,2024,maverick xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/maverick
FORD,CAMIONETA,RANGER DSL LIMITED,3.0,4X4,AT,2024,ranger dsl limited,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
FORD,CAMIONETA,RANGER DSL XL,2.0,4X2,MT,2024,ranger dsl xl,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
FORD,CAMIONETA,RANGER DSL XL,2.0,4X4,MT,2024,ranger dsl xl,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
FORD,CAMIONETA,RANGER DSL XLS,2.0,4X2,MT,2024,ranger dsl xls,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
FORD,CAMIONETA,RANGER DSL XLS,2.0,4X4,MT,2024,ranger dsl xls,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
FORD,CAMIONETA,RANGER DSL XLT,2.0,4X2,AT,2024,ranger dsl xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
FORD,CAMIONETA,RANGER DSL XLT,2.0,4X4,AT,2024,ranger dsl xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
FORD,CAMIONETA,RANGER DSL XLT,2.0,4X4,MT,2024,ranger dsl xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
FOTON,CAMIONETA,G7 LITE,,4X4,,2024,g7 lite,foton,https://www.autocosmos.cl/catalogo/vigente/foton/g7
FOTON,CAMIONETA,G7 ULTIMATE,,4X2,,2024,g7 ultimate,foton,https://www.autocosmos.cl/catalogo/vigente/foton/g7
FOTON,CAMIONETA,G7 ULTIMATE,,4X4,,2024,g7 ultimate,foton,https://www.autocosmos.cl/catalogo/vigente/foton/g7
