MODEL,MARCA,Model Name,Engine,Drive,Transmission,Year,Version URL,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Seguridad - Control de estabilidad,Seguridad - Control de tracción,Confort - Control de velocidad crucero,Confort - Encendido del motor,Comunicación y entretenimiento - Apple Carplay / Android Auto,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Seguridad - Sensor de lluvia,Comunicación y entretenimiento - Conexión USB,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de navegación,Comunicación y entretenimiento - Wi-Fi,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Confort - Limitador de velocidad,Confort - Limpialuneta,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Confort - Palanca de cambios,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Motor - Potencia total sistema híbrido,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Preinstalación teléfono,Comunicación y entretenimiento - Disco rígido,Confort - Puertas
CHANGAN HUNTER COMFORT 2.0T 4X2 MT 2024,CHANGAN,HUNTER COMFORT,2.0T,4X2,MT,2024,https://www.autocosmos.cl/catalogo/2024/changan/hunter/comfort/176948,diesel,1910 cc,150/3500 cv/rpm,350/1800-2800 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,"8,8 km/l","11,8 km/l","10,5 km/l",N/D,delantero - delantera,manual 6 velocidades,245/65/R17,discos ventilados - tambor,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,5330 mm,N/D,1930 mm,1835 mm,3180 mm,N/D,80 l,2025 kg,800 / 1000 kg,226 mm,600 mm,29°,27°,25°,3500 kg,N/D,N/D,N/D,N/D,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces de marcha diurna, con luces led, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANGAN HUNTER COMFORT 2.0T 4X4 MT 2024,CHANGAN,HUNTER COMFORT,2.0T,4X4,MT,2024,https://www.autocosmos.cl/catalogo/2024/changan/hunter/comfort-4x4/176950,diesel,1910 cc,150/3500 cv/rpm,350/1800-2800 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,"8,8 km/l","11,8 km/l","10,5 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - discos sólidos,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,5330 mm,N/D,1930 mm,1875 mm,3180 mm,N/D,80 l,2025 kg,800 / 1000 kg,226 mm,600 mm,29°,27°,25°,3500 kg,N/D,N/D,N/D,N/D,manual,sí,"con ajuste en altura, con ajuste manual",abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces de marcha diurna, con luces led, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 10""","control de ascenso en pendientes, control de descenso en pendientes",sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANGAN HUNTER ELITE SPORT 2.0T 4X4 MT 2024,CHANGAN,HUNTER ELITE SPORT,2.0T,4X4,MT,2024,https://www.autocosmos.cl/catalogo/2024/changan/hunter/elite-sport-4x4/176952,diesel,1910 cc,150/3500 cv/rpm,350/1800-2800 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,"8,8 km/l","11,8 km/l","10,5 km/l",N/D,delantero - integral,manual 6 velocidades,265/60/R18,discos ventilados - discos sólidos,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,5330 mm,N/D,1930 mm,1875 mm,3180 mm,N/D,80 l,2135 kg,800 / 1000 kg,226 mm,600 mm,29°,27°,25°,3500 kg,N/D,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico solo conductor, con ajuste en altura",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con encendido y apagado automático, con luces de marcha diurna, con luces led, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",interna solo tapa de combustible,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina)",inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",6,sí,sí,"táctil de 10""","control de ascenso en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego",sí,sí,sí,sí,"con botón, con sistema remoto",sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANGAN HUNTER LUXURY 2.0T 4X2 MT 2024,CHANGAN,HUNTER LUXURY,2.0T,4X2,MT,2024,https://www.autocosmos.cl/catalogo/2024/changan/hunter/luxury/176949,diesel,1910 cc,150/3500 cv/rpm,350/1800-2800 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,"8,8 km/l","11,8 km/l","10,5 km/l",N/D,delantero - delantera,manual 6 velocidades,265/65/R17,discos ventilados - discos sólidos,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,5330 mm,N/D,1930 mm,1875 mm,3180 mm,N/D,80 l,2025 kg,800 / 1000 kg,226 mm,600 mm,29°,27°,25°,3500 kg,N/D,N/D,N/D,N/D,climatizador,sí,"con ajuste en altura, con ajuste manual",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con luces de marcha diurna, con luces led, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 10""","control de ascenso en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego",sí,sí,sí,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANGAN MD201 MT 2024,CHANGAN,MD201,,,MT,2024,https://www.autocosmos.cl/catalogo/2024/changan/md201-cargo-box/12l/176969,bencina,1243 cc,97/6000 cv/rpm,119/4800 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"11,1 km/l","15,9 km/l","13,7 km/l",N/D,delantero - trasera,manual 5 velocidades,165/70/R14,discos ventilados - tambor,independiente tipo McPherson,eje rígido con ballesta y amortiguadores,4615 mm,1620 mm,N/D,2265 mm,2900 mm,N/A dm3,40 l,1750 kg,900 kg,155 mm,,30°,N/D,N/D,,,,,,no tiene,N/D,con ajuste eléctrico,no tiene,tela,N/D,manuales - no tiene,manuales,antideslumbrante manual,con regulación interna,"delanteros, traseros",,no tiene,acero,no tiene,sin regulación,,,,,no tiene,N/D,,delanteros inerciales,,AM - FM,2,,,,,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET COLORADO HIGH COUNTRY 4X4 AT 2024,CHEVROLET,COLORADO HIGH COUNTRY,,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-high-country-awd-aut/177006,diesel,2777 cc,200/3400 cv/rpm,440/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,"8,0 km/l","12,8 km/l","10,5 km/l",N/D,delantero - integral,automática 6 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5356 mm,1874 mm,2132 mm,1792 mm,3096 mm,N/A dm3,76 l,2126 kg,974 kg,217 mm,3500 mm,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico solo conductor, con ajuste en altura solo conductor",no abatibles,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con luces led, fijos",delanteros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",N/D,sí,sí,"táctil de 8""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos",,sí,sí,adaptativa,con sistema remoto,,trasera,sí,sí,sí,sí,satelital (GPS),sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET COLORADO LS 4X2 MT 2024,CHEVROLET,COLORADO LS,,4X2,MT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-ltz-awd-aut/177009,diesel,2777 cc,200/3400 cv/rpm,440/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,"8,0 km/l","12,8 km/l","10,5 km/l",N/D,delantero - integral,automática 6 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5356 mm,1874 mm,2132 mm,1792 mm,3096 mm,N/A dm3,76 l,2079 kg,1021 kg,222 mm,3500 mm,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico solo conductor, con ajuste en altura solo conductor",no abatibles,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con luces led, fijos",delanteros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",N/D,sí,sí,"táctil de 8""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos",,sí,sí,adaptativa,con sistema remoto,,trasera,sí,sí,sí,sí,satelital (GPS),sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET COLORADO LT 4X4 AT 2024,CHEVROLET,COLORADO LT,,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-ltz-awd-aut/177009,diesel,2777 cc,200/3400 cv/rpm,440/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,"8,0 km/l","12,8 km/l","10,5 km/l",N/D,delantero - integral,automática 6 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5356 mm,1874 mm,2132 mm,1792 mm,3096 mm,N/A dm3,76 l,2079 kg,1021 kg,222 mm,3500 mm,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico solo conductor, con ajuste en altura solo conductor",no abatibles,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con luces led, fijos",delanteros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",N/D,sí,sí,"táctil de 8""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos",,sí,sí,adaptativa,con sistema remoto,,trasera,sí,sí,sí,sí,satelital (GPS),sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET COLORADO LT 4X4 MT 2024,CHEVROLET,COLORADO LT,,4X4,MT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-ltz-awd-aut/177009,diesel,2777 cc,200/3400 cv/rpm,440/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,"8,0 km/l","12,8 km/l","10,5 km/l",N/D,delantero - integral,automática 6 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5356 mm,1874 mm,2132 mm,1792 mm,3096 mm,N/A dm3,76 l,2079 kg,1021 kg,222 mm,3500 mm,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico solo conductor, con ajuste en altura solo conductor",no abatibles,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con luces led, fijos",delanteros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",N/D,sí,sí,"táctil de 8""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos",,sí,sí,adaptativa,con sistema remoto,,trasera,sí,sí,sí,sí,satelital (GPS),sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET COLORADO LTZ 4X4 AT 2024,CHEVROLET,COLORADO LTZ,,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/colorado/28l-ltz-awd-aut/177009,diesel,2777 cc,200/3400 cv/rpm,440/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,"8,0 km/l","12,8 km/l","10,5 km/l",N/D,delantero - integral,automática 6 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5356 mm,1874 mm,2132 mm,1792 mm,3096 mm,N/A dm3,76 l,2079 kg,1021 kg,222 mm,3500 mm,N/D,N/D,N/D,,,N/D,N/D,N/D,climatizador,sí,"con ajuste eléctrico solo conductor, con ajuste en altura solo conductor",no abatibles,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con luces led, fijos",delanteros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",N/D,sí,sí,"táctil de 8""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos",,sí,sí,adaptativa,con sistema remoto,,trasera,sí,sí,sí,sí,satelital (GPS),sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,
