MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Match Key,Model URL
CHANGAN,CAMIONETA,HUNTER COMFORT,2.0T,4X2,MT,2024,hunter,changan,changan hunter,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
CHANGAN,CAMIONETA,HUNTER COMFORT,2.0T,4X4,MT,2024,hunter,changan,changan hunter,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
CHANGAN,CAMIONETA,HUNTER ELITE SPORT,2.0T,4X4,MT,2024,hunter,changan,changan hunter,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
CHANGAN,CAMIONETA,HUNTER LUXURY,2.0T,4X2,MT,2024,hunter,changan,changan hunter,https://www.autocosmos.cl/catalogo/vigente/changan/hunter
CHANGAN,CAMIONETA,MD 301 AC ESP,,,MT,2024,md 301 ac esp,changan,changan md 301 ac esp,
CHANGAN,CAMIONETA,MD201,,,MT,2024,md201,changan,changan md201,https://www.autocosmos.cl/catalogo/vigente/changan/m201-furgon
CHANGAN,CAMIONETA,MD201 XL,1.5L,,MT,2024,md201 xl,changan,changan md201 xl,https://www.autocosmos.cl/catalogo/vigente/changan/m201-furgon
CHANGAN,CAMIONETA,MS 201,,,MT,2024,ms 201,changan,changan ms 201,
CHANGAN,CAMIONETA,MS 301 PLUS AC ESP,,,,2024,ms 301 ac esp,changan,changan ms 301 ac esp,
CHEVROLET,CAMIONETA,COLORADO HIGH COUNTRY,,4X4,AT,2024,colorado high country,chevrolet,chevrolet colorado high country,
CHEVROLET,CAMIONETA,COLORADO LS,,4X2,MT,2024,colorado ls,chevrolet,chevrolet colorado ls,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
CHEVROLET,CAMIONETA,COLORADO LT,,4X4,AT,2024,colorado lt,chevrolet,chevrolet colorado lt,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
CHEVROLET,CAMIONETA,COLORADO LT,,4X4,MT,2024,colorado lt,chevrolet,chevrolet colorado lt,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado
CHEVROLET,CAMIONETA,COLORADO LTZ,,4X4,AT,2024,colorado ltz,chevrolet,chevrolet colorado ltz,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado-z71
CHEVROLET,CAMIONETA,COLORADO Z71,,4X4,AT,2024,colorado z71,chevrolet,chevrolet colorado z71,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado-z71
CHEVROLET,CAMIONETA,MONTANA T LT,1.2,,MT,2024,montana t lt,chevrolet,chevrolet montana t lt,https://www.autocosmos.cl/catalogo/vigente/chevrolet/montana
CHEVROLET,CAMIONETA,MONTANA T LTZ,1.2,,AT,2024,montana t ltz,chevrolet,chevrolet montana t ltz,https://www.autocosmos.cl/catalogo/vigente/chevrolet/montana
