Modelo,ID,our_id
- 25 meses o más,"[1536577, 1536577, 1536577, 1536577, 1536579, 1536579, 1536579, 1536579, 1536579, 1536575, 1536575, 1536575, 1536575, 1536575, 1536569, 1536569, 1536569, 1536569, 1536569, 1536567, 1536567, 1536567, 1536567, 1536567, 1536571, 1536571, 1536571, 1536571, 1536571, 1536563, 1536563, 1536563, 1536563, 1536563, 1536573, 1536573, 1536573, 1536573, 1536573, 1536565, 1536565, 1536565, 1536565, 1536565, 1536561, 1536561, 1536561, 1536561, 1536561, 1603631, 1603631, 1603631, 1603631]",1
- 4x2 aea,"[1562122, 1562122, 1562122, 1562122, 1562122, 1562122, 1562122, 1562122]",2
- 4x2 aeb,"[1562112, 1562112, 1562112, 1562112, 1562112, 1562112, 1562112, 1562112]",3
- 4x2 ats,"[1562107, 1562107, 1562107, 1562107, 1562107]",4
- 4x4 aea,"[1562125, 1562125, 1562125, 1562125, 1562125, 1562125, 1562125]",5
- 4x4 aeb,"[1562117, 1562117, 1562117, 1562117, 1562117, 1562117, 1562117]",6
- 4x4 ats,"[1562110, 1562110, 1562110, 1562110, 1562110]",7
- buses interprovinciales,"[1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595, 1536595]",8
- buses media y larga distancia,"[1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596, 1536596]",9
- camioneta,"[1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584, 1536584]",10
- camioneta 4x4 ap at ,"[1595165, 1595165]",11
- camioneta 4x4 at gope,"[1560958, 1560958]",12
- camioneta 4x4 at siat,"[1560960, 1560960, 1560960, 1560960]",13
- camioneta 4x4 labocar,"[1597146, 1597146]",14
- camión liviano,"[1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587, 1536587]",15
- cargo,"[1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588, 1536588]",16
- city car,"[1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583, 1536583]",17
- entre 12 y 24 meses,"[1536576, 1536576, 1536576, 1536576, 1536578, 1536578, 1536578, 1536578, 1536578, 1536574, 1536574, 1536574, 1536574, 1536574, 1536568, 1536568, 1536568, 1536568, 1536568, 1536566, 1536566, 1536566, 1536566, 1536566, 1536570, 1536570, 1536570, 1536570, 1536570, 1536562, 1536562, 1536562, 1536562, 1536562, 1536572, 1536572, 1536572, 1536572, 1536572, 1536564, 1536564, 1536564, 1536564, 1536564, 1536560, 1536560, 1536560, 1536560, 1536560, 1603628, 1603628, 1603628, 1603628, 1603628]",18
- forestal,"[1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591, 1536591]",19
- furgon retén movil con rejas,"[1703787, 1703787, 1703787, 1703787]",20
- furgón,"[1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585, 1536585]",21
- furgón 4x2 atención registro civil,"[1824236, 1824236]",22
- furgón centro de vigilancia,"[1592001, 1592001, 1592001, 1592001, 1592001, 1592001, 1592001]",23
- furgón labocar,"[1597147, 1597147, 1597147, 1597147, 1597147, 1597147]",24
- furgón liviano 4x2 1 celda,"[1582416, 1582416, 1582416]",25
- furgón liviano 4x4 1 celda,"[1565631, 1565631]",26
