marca,numero licitacion,id producto,tipo producto,model name,engine,drive,transmission,year,model name simplified,marca simplified,model url,engine simplified,drive simplified,transmission simplified,Version URL
changan,2239-4-lr17,1670361,camioneta,hunter 1.9l comfort,,,,,hunter 19l comfort,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/changan/hunter/comfort/178826
changan,2239-4-lr17,1670362,camioneta,hunter 1.9l comfort,,4X4,,,hunter 19l comfort,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/changan/hunter/comfort-4x4/178828
changan,2239-4-lr17,1670363,camioneta,hunter 1.9l elite,,4X4,,,hunter 19l elite,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/changan/hunter/elite-sport-4x4/178829
changan,2239-4-lr17,1670364,camioneta,hunter 1.9l luxury,,,,,hunter 19l luxury,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/changan/hunter/luxury/178827
changan,2239-4-lr17,1670365,camioneta,hunter 1.9l luxury,,4X4,,,hunter 19l luxury,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/changan/hunter/elite-sport-4x4/178829
changan,2239-8-lr23,2048977,camioneta,hunter comfort 2.0t,,4X2,MT,2024.0,hunter comfort 20t,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2025/changan/hunter/comfort/178826
changan,2239-8-lr23,2049011,camioneta,hunter comfort 2.0t,,4X4,MT,2024.0,hunter comfort 20t,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2025/changan/hunter/comfort-4x4/178828
changan,2239-8-lr23,2049028,camioneta,hunter elite sport 2.0t,,4X4,MT,2024.0,hunter elite sport 20t,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2025/changan/hunter/elite-sport-4x4/178829
changan,2239-8-lr23,2048994,camioneta,hunter luxury 2.0t,,4X2,MT,2024.0,hunter luxury 20t,changan,https://www.autocosmos.cl/catalogo/vigente/changan/hunter,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2025/changan/hunter/luxury/178827
changan,2239-8-lr23,2049113,camioneta,md 301 ac esp,,,MT,2024.0,md 301 ac esp,changan,https://www.autocosmos.cl/catalogo/vigente/changan/md201-pick-up,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/changan/md201-pick-up/12l-ac/178842
