marca,numero licitacion,id producto,tipo producto,Model Name,Engine,Drive,Transmission,Year
changan,2239-4-lr17,1670361,camioneta,hunter 1.9l comfort,,,,
changan,2239-4-lr17,1670362,camioneta,hunter 1.9l comfort,,4X4,,
changan,2239-4-lr17,1670363,camioneta,hunter 1.9l elite,,4X4,,
changan,2239-4-lr17,1670364,camioneta,hunter 1.9l luxury,,,,
changan,2239-4-lr17,1670365,camioneta,hunter 1.9l luxury,,4X4,,
changan,2239-8-lr23,2048977,camioneta,hunter comfort 2.0t,,4X2,MT,2024
changan,2239-8-lr23,2048979,camioneta,hunter comfort 2.0t,,4X2,MT,2024
changan,2239-8-lr23,2250679,camioneta,hunter comfort 2.0t,,4X2,MT,2025
changan,2239-8-lr23,2250681,camioneta,hunter comfort 2.0t,,4X2,MT,2025
changan,2239-8-lr23,2049011,camioneta,hunter comfort 2.0t,,4X4,MT,2024
changan,2239-8-lr23,2049013,camioneta,hunter comfort 2.0t,,4X4,MT,2024
changan,2239-8-lr23,2250713,camioneta,hunter comfort 2.0t,,4X4,MT,2025
changan,2239-8-lr23,2250715,camioneta,hunter comfort 2.0t,,4X4,MT,2025
changan,2239-8-lr23,2049028,camioneta,hunter elite sport 2.0t,,4X4,MT,2024
changan,2239-8-lr23,2049030,camioneta,hunter elite sport 2.0t,,4X4,MT,2024
changan,2239-8-lr23,2250730,camioneta,hunter elite sport 2.0t,,4X4,MT,2025
changan,2239-8-lr23,2250732,camioneta,hunter elite sport 2.0t,,4X4,MT,2025
changan,2239-8-lr23,2048994,camioneta,hunter luxury 2.0t,,4X2,MT,2024
changan,2239-8-lr23,2048996,camioneta,hunter luxury 2.0t,,4X2,MT,2024
changan,2239-8-lr23,2250696,camioneta,hunter luxury 2.0t,,4X2,MT,2025
changan,2239-8-lr23,2250698,camioneta,hunter luxury 2.0t,,4X2,MT,2025
changan,2239-8-lr23,2049113,camioneta,md 301 ac esp,,,MT,2024
changan,2239-8-lr23,2049115,camioneta,md 301 ac esp,,,MT,2024
changan,2239-4-lr17,1670404,camioneta,md201 1.2l pick up,,,,
changan,2239-4-lr17,1670405,camioneta,md201 1.2l pick up ac,,,,
changan,2239-4-lr17,1670406,camioneta,md201 1.5l xl,,,,
changan,2239-4-lr17,1670407,camioneta,md201 1.5l xl ac,,,,
changan,2239-8-lr23,2049045,camioneta,md201,,,MT,2024
changan,2239-8-lr23,2049047,camioneta,md201,,,MT,2024
changan,2239-8-lr23,2049062,camioneta,md201 xl 1.5l,,,MT,2024
changan,2239-8-lr23,2049064,camioneta,md201 xl 1.5l,,,MT,2024
changan,2239-8-lr23,2049079,camioneta,md201 xl 1.5l,,,MT,2024
changan,2239-8-lr23,2049081,camioneta,md201 xl 1.5l,,,MT,2024
changan,2239-8-lr23,2049096,camioneta,ms 201,,,MT,2024
changan,2239-8-lr23,2049098,camioneta,ms 201,,,MT,2024
changan,2239-8-lr23,2049130,camioneta,ms 301 plus ac esp,,,,2024
changan,2239-8-lr23,2049132,camioneta,ms 301 plus ac esp,,,,2024
changan,2239-4-lr17,1670408,camioneta,ms201 1.2l pick-up,,,,
changan,2239-4-lr17,1670409,camioneta,ms201 1.2l pick-up plus,,,,
chevrolet,2239-4-lr17,1670294,camioneta,colorado 2.8l high country aut,,4X4,,
chevrolet,2239-4-lr17,1670295,camioneta,colorado 2.8l ltz,,4X4,,
chevrolet,2239-4-lr17,1670296,camioneta,colorado 2.8l ltz aut,,4X4,,
chevrolet,2239-4-lr17,1670297,camioneta,colorado hc 2.8td,,4WD,AT,
chevrolet,2239-4-lr17,1670298,camioneta,colorado hc 2.8td l,,4WD,AT,
chevrolet,2239-8-lr23,2042976,camioneta,colorado high country,,4X4,AT,2024
chevrolet,2239-8-lr23,2042977,camioneta,colorado high country,,4X4,AT,2024
chevrolet,2239-8-lr23,2042979,camioneta,colorado high country,,4X4,AT,2024
chevrolet,2239-8-lr23,2249539,camioneta,colorado high country,,4X4,AT,2025
chevrolet,2239-8-lr23,2249540,camioneta,colorado high country,,4X4,AT,2025
chevrolet,2239-8-lr23,2249541,camioneta,colorado high country,,4X4,AT,2025
chevrolet,2239-8-lr23,2249542,camioneta,colorado high country,,4X4,AT,2025
chevrolet,2239-8-lr23,2249543,camioneta,colorado high country,,4X4,AT,2025
chevrolet,2239-8-lr23,2249544,camioneta,colorado high country,,4X4,AT,2025
chevrolet,2239-8-lr23,2249545,camioneta,colorado high country,,4X4,AT,2025
chevrolet,2239-8-lr23,2249548,camioneta,colorado high country,,4X4,AT,2025
chevrolet,2239-8-lr23,2249550,camioneta,colorado high country,,4X4,AT,2025
chevrolet,2239-8-lr23,2042890,camioneta,colorado ls,,4X2,MT,2024
