,Nro Licitación Pública,Id Convenio Marco,Convenio Marco,CodigoOC,NombreOC,Fecha Envío OC,EstadoOC,Proviene de Gran Compra,idGranCompra,Especificación del Comprador,IDProductoCM,Producto,Nombre Producto ONU,Tipo de Producto,Marca,Modelo,Precio Unitario,Cantidad,TotaLínea(Neto),Moneda,Monto Total OC Neto,Descuento Global OC,Cargos Adicionales OC,Subtotal OC,Impuestos,Monto Total OC,Rut Unidad de Compra,Unidad de Compra,Razón Social Comprador,Dirección Unidad Compra,Comuna Unidad Compra,Región Unidad de Compra,Institución,Sector,Rut Proveedor,Nombre Proveedor Sucursal,Nombre Empresa,Comuna del Proveedor,Región del Proveedor,Observaciones,Forma de Pago,Orgcode_Comprador,Entcode_Comprador,Orgcode_Proveedor,Entcode_Proveedor
29599,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,4062-187-CM24,Orden de Compra: 4062-187-CM24,2024-03-12,Recepcion Conforme,No,,(2042525) CAMIONETA MAXUS T60 E6 GL 4X4 MT 2024 REGIÓN XIV,2042525,CAMIONETA MAXUS T60 E6 GL 4X4 MT 2024 REGIÓN XIV,Automóviles,CAMIONETA,MAXUS,T60 E6 GL 4X4 MT 2024,20782800,1,20782800,CLP,20782800,0,199000,20981800,3986542,24968342,69.200.400-0,Finanzas,I MUNICIPALIDAD DE MARIQUINA,"calle padre placido S/N, Bodega Municipal, Sr. Ruben Solis encargado",Mariquina,Los Ríos,I MUNICIPALIDAD DE MARIQUINA,Municipalidades,79.649.970-2,SERVIMAQ SPA,AUTOMOTRIZ SERVIMAQ SPA,,,"Orden de Compra codigo: 4062-187-CM24 dirigida a AUTOMOTRIZ SERVIMAQ SPA
ADQUISICION DE CAMIONETA  COLOR BLANCO, MAXUS T60 E6 GL 4X4 MT2024.
DEBE INCLUIR DOCUMENTACION DEL VEHICULO VIGENTE A NOMBRE DE LA MUNICIPALIDAD DE MARIQUINA.
SP.N°2677 SEPCLAN",30 dias contra la recepcion conforme de la factura,4982,120001,100329,97856
34844,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,3577-41-CM24,Orden de Compra: 3577-41-CM24,2024-03-14,Aceptada,No,,(2041399) CAMIONETA TOYOTA HILUX DX 2.4 4X4 MT 2024 REGIÓN VIII,2041399,CAMIONETA TOYOTA HILUX DX 2.4 4X4 MT 2024 REGIÓN VIII,Automóviles,CAMIONETA,TOYOTA,HILUX DX 2.4 4X4 MT 2024,26819160,1,26819160,CLP,26819160,0,0,26819160,"5095640,4","31914800,4",61.929.100-K,Direccion Admin. Salud Municipal Florida,Direccion Admin. Salud Municipal Florida,Arturo Prat 675 - Florida- 8° Region,Florida,Metropolitana,I MUNICIPALIDAD DE FLORIDA,Municipalidades,84.807.200-1,BRUNO FRITSCH S.A.,BRUNO FRITSCH S.A. ,,,Orden de Compra codigo: 3577-41-CM24 dirigida a BRUNO FRITSCH S.A.,30 dias contra la recepcion conforme de la factura,4497,115285,24507,24823
35206,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,3030-177-CM24,CAMIONETA JMC PARA DEPTO. DE SALUD ,2024-03-14,Aceptada,No,,(2041534) CAMIONETA JMC VIGUS NEW WORK 4X4 MT 2024 REGIÓN VII,2041534,CAMIONETA JMC VIGUS NEW WORK 4X4 MT 2024 REGIÓN VII,Automóviles,CAMIONETA,JMC,VIGUS NEW WORK 4X4 MT 2024,14550900,1,14550900,CLP,14550900,0,120000,14670900,2787471,17458371,69.130.800-6,Dpto. de Salud,Ilustre Municipalidad de Retiro,"Errázuriz Nº 240, Oficina de Adquisiciones, 2°  piso",,Maule,Ilustre Municipalidad de Retiro,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,CAMIONETA JMC VIGUS NEW WORK 4X4 MT 2024 PARA DEPARTAMENTO DE SALUD RETIRO,30 dias contra la recepcion conforme de la factura,3978,113252,32639,32414
40531,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,2381-308-CM24,ADQUISICIÓN DE 01 CAMIONETA TODO TERRENO PARA LA DIRECCIÓN DE SALUD MUNICIPAL ,2024-03-18,Aceptada,No,,(2041392) CAMIONETA TOYOTA HILUX DX 2.4 4X4 MT 2024 REGIÓN III,2041392,CAMIONETA TOYOTA HILUX DX 2.4 4X4 MT 2024 REGIÓN III,Automóviles,CAMIONETA,TOYOTA,HILUX DX 2.4 4X4 MT 2024,26819160,1,26819160,CLP,26819160,0,0,26819160,"5095640,4","31914800,4",69.030.200-4,DEPARTAMENTO DE ADQUISICIONES DASM,I MUNICIPALIDAD DE COPIAPO,CHACABUCO 857,Copiapó,Atacama,I MUNICIPALIDAD DE COPIAPO,Municipalidades,84.807.200-1,BRUNO FRITSCH S.A.,BRUNO FRITSCH S.A. ,,,ADQUISICIÓN DE 01 CAMIONETA TODO TERRENO PARA LA DIRECCIÓN DE SALUD MUNICIPAL (COLOR GRIS PLATA),30 dias contra la recepcion conforme de la factura,3373,86872,24507,24823
41000,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,316-212-CM24,Orden de Compra: 316-212-CM24,2024-03-20,Aceptada,No,,(2041566) CAMIONETA JMC VIGUS NEW PLUS 4X4 MT 2024 REGIÓN V,2041566,CAMIONETA JMC VIGUS NEW PLUS 4X4 MT 2024 REGIÓN V,Automóviles,CAMIONETA,JMC,VIGUS NEW PLUS 4X4 MT 2024,16191000,1,16191000,CLP,16191000,0,0,16191000,3076290,19267290,69.061.500-2,ADQUISICIONES,I MUNICIPALIDAD DE VILLA ALEMANA,"CALLE BUENOS AIRES 850, SEGUNDO PISO (2) UNIDAD DE INFORMATICA",Villa Alemana,Valparaíso,Ilustre Municipalidad de Villa Alemana,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,Orden de Compra codigo: 316-212-CM24 dirigida a AUTOMOTRIZ CORDILLERA S.A.,30 dias contra la recepcion conforme de la factura,1313,7233,32639,32414
41730,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,5153-609-CM24,Orden de Compra: (JSR) - CAMIONETA JMC GRAND AVENUE 4X2 MT 2024 /OCI- 177858      ,2024-03-18,Aceptada,No,,(2041616) CAMIONETA JMC GRAND AVENUE 4X2 MT 2024 REGIÓN RM,2041616,CAMIONETA JMC GRAND AVENUE 4X2 MT 2024 REGIÓN RM,Automóviles,CAMIONETA,JMC,GRAND AVENUE 4X2 MT 2024,17470800,1,17470800,CLP,17470800,0,0,17470800,3319452,20790252,60.910.000-1,Hospital Clínico Univ. de Chile-Insumos Generales,UNIVERSIDAD DE CHILE,Avenida Santos Dumont N° 999				,Independencia,Metropolitana,Universidad de Chile,"Gob. Central, Universidades",79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,"FACTURAR:
Razón social:   UNIVERSIDAD DE CHILE
Giro:                 ACTIVIDADES DE HOSPITALES Y CLINICAS PUBLICAS
Rut:                  60.910.000-1
Dirección:        DR CARLOS LORCA TOBAR #999 
Comuna:          INDEPENDENCIA 
Cuidad:             SANTIA",30 dias contra la recepcion conforme de la factura,6066,7251,32639,32414
41866,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,3887-278-CM24,Adquisición de vehículo  ,2024-03-18,Aceptada,No,,(2043196) CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN IX,2043196,CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN IX,Automóviles,CAMIONETA,KIA,FRONTIER D/C LX 2.5L AV AB MT 2024,22168824,1,22168824,CLP,22168824,0,185000,22353824,"4247226,56","26601050,56",69.191.500-K,I MUNICIPALIDAD DE VILLARRICA,I MUNICIPALIDAD DE VILLARRICA,"General Urrutia N°375, DAEM",Villarrica,Araucanía,I MUNICIPALIDAD DE VILLARRICA,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,"Solicitud N° 66217 de SECPLAN. 

La recepción de productos y servicios, se harán solamente cuando esta venga acompañada de la correspondiente guía de despacho y/o factura timbrada por el SII, indicando el número de la OC que corresponda (campo 801 en SII)",30 dias contra la recepcion conforme de la factura,4807,118084,32639,32414
42815,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,3597-217-CM24,Orden de Compra: 3597-217-CM24,2024-03-19,Recepcion Conforme,No,,(2043197) CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,2043197,CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,Automóviles,CAMIONETA,KIA,FRONTIER D/C LX 2.5L AV AB MT 2024,22412437,1,22412437,CLP,22412437,0,0,22412437,"4258363,03","26670800,03",69.040.500-8,Ilustre Municipalidad de Vicuña,I MUNICIPALIDAD DE VICUNA,"San Martín  275, Vicuña",Vicuña,Coquimbo,I MUNICIPALIDAD DE VICUNA,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,"Adquisición de Camioneta Kía Frontier D/C, solicitada por Unidad de Movilización, a través de Convenio Marco.",30 dias contra la recepcion conforme de la factura,4517,115303,32639,32414
47541,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,1305504-28-CM24,JQ P01 Vehículo institucional,2024-03-21,Recepcion Conforme,No,,(2042487) CAMIONETA MAXUS T60 DX E6 4X4 MT 2024 REGIÓN VIII,2042487,CAMIONETA MAXUS T60 DX E6 4X4 MT 2024 REGIÓN VIII,Automóviles,CAMIONETA,MAXUS,T60 DX E6 4X4 MT 2024,19175200,1,19175200,CLP,19175200,0,0,19175200,3643288,22818488,61.981.100-3,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ANDALIÉN CO,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ANDALIÉN CO,"José Cardenio Avello 294, Teatro de Santa Juana",Santa Juana,Bío-Bío,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE ANDALIÉN COSTA,Otros,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,Orden de Compra codigo: 1305504-28-CM24 dirigida a AUTOMOTRIZ CORDILLERA S.A.,30 dias contra la recepcion conforme de la factura,1305504,1890597,32639,32414
49117,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,2424-387-CM24,PED. 52/TRANSITO/ 2424-387-CM24-CAMIONETA PICKUP-MAR,2024-03-28,Recepcion Conforme,No,,(2043198) CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN V,2043198,CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN V,Automóviles,CAMIONETA,KIA,FRONTIER D/C LX 2.5L AV AB MT 2024,21925210,1,21925210,CLP,21925210,0,0,21925210,"4165789,9","26090999,9",69.061.000-0,I MUNICIPALIDAD DE VINA DEL MAR,I MUNICIPALIDAD DE VINA DEL MAR,ARLEGUI Nº615 3º PISO,Viña del Mar,Valparaíso,I.MUNICIPALIDAD DE VIÑA DEL MAR,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,Orden de Compra codigo: 2424-387-CM24 dirigida a AUTOMOTRIZ CORDILLERA S.A.,30 dias contra la recepcion conforme de la factura,3416,87399,32639,32414
