IDProductoCM,model,marca,model name,engine,drive,transmission,year,version url,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Seguridad - Control de tracción,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Confort - Control de velocidad crucero,Confort - Encendido del motor,Seguridad - Control de estabilidad,Comunicación y entretenimiento - Apple Carplay / Android Auto,Comunicación y entretenimiento - Conexión USB,Confort - Limpialuneta,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Seguridad - Sensor de lluvia,Confort - Limitador de velocidad,Comunicación y entretenimiento - Wi-Fi,Confort - Puertas,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Confort - Palanca de cambios,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Sistema de video,Comunicación y entretenimiento - Sistema de navegación,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Comunicación y entretenimiento - Preinstalación teléfono,Motor - Potencia total sistema híbrido,Comunicación y entretenimiento - Disco rígido,Unnamed: 0,Nro Licitación Pública,Id Convenio Marco,Convenio Marco,CodigoOC,NombreOC,Fecha Envío OC,EstadoOC,Proviene de Gran Compra,idGranCompra,Especificación del Comprador,Producto,Nombre Producto ONU,Tipo de Producto,Marca,Modelo,Precio Unitario,Cantidad,TotaLínea(Neto),Moneda,Monto Total OC Neto,Descuento Global OC,Cargos Adicionales OC,Subtotal OC,Impuestos,Monto Total OC,Rut Unidad de Compra,Unidad de Compra,Razón Social Comprador,Dirección Unidad Compra,Comuna Unidad Compra,Región Unidad de Compra,Institución,Sector,Rut Proveedor,Nombre Proveedor Sucursal,Nombre Empresa,Comuna del Proveedor,Región del Proveedor,Observaciones,Forma de Pago,Orgcode_Comprador,Entcode_Comprador,Orgcode_Proveedor,Entcode_Proveedor
2042918,chevrolet colorado lt 4X4 MT 2024.0,chevrolet,colorado lt,,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881,diesel,2777 cc,204/3400 cv/rpm,510/2000 N·m/rpm,inyección directa turbo diesel,4 en línea,16.0,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 8 velocidades,265/60/R18,discos ventilados - tambor,"independiente, brazos inferiores articulados y barra estabilizadora",ballesta semielíptica con amortiguadores telescópicos de doble efecto,5344 mm,1871 mm,2132 mm,1845 mm,3095 mm,1061 dm3,76 l,2160 kg,940 kg,211 mm,N/D,N/D,N/D,N/D,2900 kg,N/D,N/D,N/D,N/D,climatizador bizona,sí,con ajuste eléctrico solo conductor,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con luces de marcha diurna, con luces led, con regulación y encendido automático",delanteros y traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 11""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos",,sí,"con botón, con sistema remoto",sí,sí,,,trasera,,sí,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,13050,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,3594-570-CM24,CAMIONETA CHEVROLET COLORADO,2024-08-05,Enviada a Proveedor,No,,(2042918) CAMIONETA CHEVROLET COLORADO LT 4X4 MT 2024 REGIÓN XVI,CAMIONETA CHEVROLET COLORADO LT 4X4 MT 2024 REGIÓN XVI,Automóviles,CAMIONETA,CHEVROLET,COLORADO LT 4X4 MT 2024,28965606,1.0,28965606,CLP,28965606,0,0,28965606,"5503465,14","34469071,14",69.140.200-2,I MUNICIPALIDAD DE PORTEZUELO,I MUNICIPALIDAD DE PORTEZUELO,O'Higgins  403,Portezuelo,Ñuble,I MUNICIPALIDAD DE PORTEZUELO,Municipalidades,91.139.000-0,Automotora Comercial Costabal y Echenique S.A,AUTOMOTORA COMERCIAL COSTABAL Y ECHENIQUE S A,,,Orden de Compra codigo: 3594-570-CM24 dirigida a AUTOMOTORA COMERCIAL COSTABAL Y ECHENIQUE S A,30 dias contra la recepcion conforme de la factura,4514,115299,41210,40543
2048792,jac t8 pro luxury 4X4 MT 2024.0,jac,t8 pro luxury,,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/jac/t8/20l-advance-4x4/179229,diesel,1999 cc,137/3600 cv/rpm,320/1600-2600 N·m/rpm,inyección directa common rail turbo,4 en línea,16.0,sí,no,N/D,"11,1 km/l","12,9 km/l","12,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/60/R18,discos ventilados - discos sólidos,"independiente con amortiguadores, espirales y barra estabilizadora",eje rígido con resorte,5325 mm,1880 mm,N/D,1830 mm,3090 mm,N/D,76 l,1960 kg,900 kg,220 mm,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles completo,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con luces de marcha diurna, con luces de Xenón, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en símil cuero",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,táctil de 9'',"asistente para arranque en pendientes, control de ascenso en pendientes, indicador de presión de neumáticos",sí,sí,con botón,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19827,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,4371-199-CM24,Orden de Compra: 4371-199-CM24,2024-07-11,Aceptada,No,,(2048792) CAMIONETA JAC T8 PRO LUXURY 4X4 MT 2024 REGIÓN VI,CAMIONETA JAC T8 PRO LUXURY 4X4 MT 2024 REGIÓN VI,Automóviles,CAMIONETA,JAC,T8 PRO LUXURY 4X4 MT 2024,18481640,1.0,18481640,CLP,18481640,0,0,18481640,"3511511,6","21993151,6",69.081.000-k,Ilustre Municipalidad de San Vicente de Tagua Tagu,I MUNICIPALIDAD DE SAN VICENTE,Tagua Tagua 222,,Lib. Gral. Bdo. O'Higgins,Ilustre Municipalidad de San Vicente de Tagua Tagua,Municipalidades,86.385.500-4,COMERCIAL ANFRUNS Y COMPAÑIA SPA,COMERCIAL ANFRUNS Y COMPANIA SPA,,,Orden de Compra codigo: 4371-199-CM24 dirigida a COMERCIAL ANFRUNS Y COMPANIA SPA,30 dias contra la recepcion conforme de la factura,5287,135559,976986,184380
2048758,jac t8 xe advance 2.0t 4X4 MT 2024.0,jac,t8 xe advance 2.0t,,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/jac/t8/20l-advance-4x4/179229,diesel,1999 cc,137/3600 cv/rpm,320/1600-2600 N·m/rpm,inyección directa common rail turbo,4 en línea,16.0,sí,no,N/D,"11,1 km/l","12,9 km/l","12,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/60/R18,discos ventilados - discos sólidos,"independiente con amortiguadores, espirales y barra estabilizadora",eje rígido con resorte,5325 mm,1880 mm,N/D,1830 mm,3090 mm,N/D,76 l,1960 kg,900 kg,220 mm,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles completo,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con luces de marcha diurna, con luces de Xenón, con regulación interna",delanteros y traseros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en símil cuero",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,táctil de 9'',"asistente para arranque en pendientes, control de ascenso en pendientes, indicador de presión de neumáticos",sí,sí,con botón,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43729,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,4732-117-CM24,Adquisición de camioneta para la Dirección de Desarrollo Comunitario - presupuesto FIGEM 2023.,2024-04-15,Recepcion Conforme,No,,(2048758) CAMIONETA JAC T8 XE ADVANCE 2.0T 4X4 MT 2024 REGIÓN VI,CAMIONETA JAC T8 XE ADVANCE 2.0T 4X4 MT 2024 REGIÓN VI,Automóviles,CAMIONETA,JAC,T8 XE ADVANCE 2.0T 4X4 MT 2024,17929640,1.0,17929640,CLP,17929640,0,0,17929640,"3406631,6","21336271,6",69.080.400-K,Secpla,I MUNICIPALIDAD DE CODEGUA,"O""higgins 376",Codegua,Lib. Gral. Bdo. O'Higgins,Ilustre Municipalidad de Codegua,Municipalidades,86.385.500-4,COMERCIAL ANFRUNS Y COMPAÑIA SPA,COMERCIAL ANFRUNS Y COMPANIA SPA,,,Orden de Compra codigo: 4732-117-CM24 dirigida a COMERCIAL ANFRUNS Y COMPANIA SPA,30 dias contra la recepcion conforme de la factura,5647,165106,976986,184380
2041516,jmc vigus new work 4X2 MT 2024.0,jmc,vigus new work,,4X2,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/jmc/vigus-work/25l-4x2/179301,diesel,2500 cc,140/3600 cv/rpm,315/1800-2600 N·m/rpm,inyección directa turbo,4 en línea,16.0,sí,no,N/D,"11,4 km/l","14,9 km/l","13,3 km/l",N/D,delantero - trasera,manual 5 velocidades,245/70/R16,discos ventilados - discos ventilados,barra de torsión,resortes helicoidales,5410 mm,1905 mm,N/D,1795 mm,3085 mm,N/D,67 l,2000 kg,820 kg,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,con regulación interna,delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 10""",,sí,,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10447,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,3181-205-CM24,"ADQUISICIÓN DE CAMIONETA PARA LABORES DIARIOS DE LA MOVILIDAD DE OPERACIONES, SOLICITADO POR DIMAO, DESDE CONVENIO MARCO.",2024-04-02,Recepcion Conforme,No,,(2041516) CAMIONETA JMC VIGUS NEW WORK 4X2 MT 2024 REGIÓN VI,CAMIONETA JMC VIGUS NEW WORK 4X2 MT 2024 REGIÓN VI,Automóviles,CAMIONETA,JMC,VIGUS NEW WORK 4X2 MT 2024,13941000,1.0,13941000,CLP,13941000,0,0,13941000,2648790,16589790,69.080.200-7,ILUSTRE MUNICIPALIDAD DE MACHALI,ILUSTRE MUNICIPALIDAD DE MACHALI,Plaza de Armas N° 11,Machalí,Lib. Gral. Bdo. O'Higgins,Ilustre Municipalidad de Machali,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,Orden de Compra codigo: 3181-205-CM24 dirigida a AUTOMOTRIZ CORDILLERA S.A.,30 dias contra la recepcion conforme de la factura,4102,113852,32639,32414
2041536,jmc vigus new work 4X4 MT 2024.0,jmc,vigus new work,,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/jmc/vigus-work/25l-4x4/179302,diesel,2500 cc,140 cv/rpm,315/1800-2600 N·m/rpm,inyección directa turbo,4 en línea,16.0,sí,no,N/D,"11,4 km/l","14,9 km/l","13,3 km/l",N/D,delantero - integral,manual 5 velocidades,245/70/R16,discos ventilados - discos ventilados,barra de torsión,resortes helicoidales,5410 mm,1905 mm,N/D,1795 mm,3085 mm,N/D,67 l,1930 kg,845 kg,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,con regulación interna,delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 10""",,sí,,,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26834,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,2927-282-CM24,Orden de Compra: 2927-282-CM24,2024-08-14,Aceptada,No,,(2041536) CAMIONETA JMC VIGUS NEW WORK 4X4 MT 2024 REGIÓN X,CAMIONETA JMC VIGUS NEW WORK 4X4 MT 2024 REGIÓN X,Automóviles,CAMIONETA,JMC,VIGUS NEW WORK 4X4 MT 2024,14710800,2.0,29421600,CLP,29421600,0,0,29421600,5590104,35011704,69.230.700-3,ADQUISICIONES,I MUNICIPALIDAD DE QUELLON,22 de Mayo 351,Quellón,Los Lagos,Ilustre Municipalidad De Quellón,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,"Orden de Compra codigo: 2927-282-CM24 dirigida a AUTOMOTRIZ CORDILLERA S.A.
Entregadas En Puerto Montt en local
Sin documentacion (permiso de circulacion, soap e inscripcion)
color blanco o gris plata ",30 dias contra la recepcion conforme de la factura,3913,110102,32639,32414
2043197,kia frontier d/c lx 2.5l av ab MT 2024.0,kia,frontier d/c lx 2.5l av ab,,,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/kia/frontier/25l-deluxe/179347,diesel,2497 cc,129/3800 cv/rpm,255/1500-3500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16.0,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - trasera,manual 6 velocidades,,discos ventilados - tambor,horquilla doble con barra de torsión,resortes helicoidales,5125 mm,1740 mm,N/D,1995 mm,2615 mm,N/A dm3,65 l,1580 kg,1660 kg,355 mm,,,,,N/D,N/D,,,,manual,,con ajuste manual,no tiene,tela,centralizado,eléctricos - no tiene,manuales,antideslumbrante manual,fijos,delanteros,sí,hidráulica,acero,no tiene,con ajuste en altura,,traseros,,,conductor y acompañante,N/D,,delanteros inerciales,sí,,AM - FM,N/D,,sí,táctil de 7'',sistema de bloqueo electrónico diferencial,,,,sí,sí,,,trasera,,,,,,,,,,,,,,,,,195/R15,R12,,,,,,,,,,,,,42815,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,3597-217-CM24,Orden de Compra: 3597-217-CM24,2024-03-19,Recepcion Conforme,No,,(2043197) CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,Automóviles,CAMIONETA,KIA,FRONTIER D/C LX 2.5L AV AB MT 2024,22412437,1.0,22412437,CLP,22412437,0,0,22412437,"4258363,03","26670800,03",69.040.500-8,Ilustre Municipalidad de Vicuña,I MUNICIPALIDAD DE VICUNA,"San Martín  275, Vicuña",Vicuña,Coquimbo,I MUNICIPALIDAD DE VICUNA,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,"Adquisición de Camioneta Kía Frontier D/C, solicitada por Unidad de Movilización, a través de Convenio Marco.",30 dias contra la recepcion conforme de la factura,4517,115303,32639,32414
2043197,kia frontier d/c lx 2.5l av ab MT 2024.0,kia,frontier d/c lx 2.5l av ab,,,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/kia/frontier/25l-deluxe/179347,diesel,2497 cc,129/3800 cv/rpm,255/1500-3500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16.0,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - trasera,manual 6 velocidades,,discos ventilados - tambor,horquilla doble con barra de torsión,resortes helicoidales,5125 mm,1740 mm,N/D,1995 mm,2615 mm,N/A dm3,65 l,1580 kg,1660 kg,355 mm,,,,,N/D,N/D,,,,manual,,con ajuste manual,no tiene,tela,centralizado,eléctricos - no tiene,manuales,antideslumbrante manual,fijos,delanteros,sí,hidráulica,acero,no tiene,con ajuste en altura,,traseros,,,conductor y acompañante,N/D,,delanteros inerciales,sí,,AM - FM,N/D,,sí,táctil de 7'',sistema de bloqueo electrónico diferencial,,,,sí,sí,,,trasera,,,,,,,,,,,,,,,,,195/R15,R12,,,,,,,,,,,,,678,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,2483-240-CM24,Orden de Compra: 2483-240-CM24,2024-04-01,Aceptada,No,,(2043197) CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,Automóviles,CAMIONETA,KIA,FRONTIER D/C LX 2.5L AV AB MT 2024,22412437,1.0,22412437,CLP,22412437,0,0,22412437,"4258363,03","26670800,03",69.071.300-4,DEPARTAMENTO COMPRAS PÚBLICAS,I MUNICIPALIDAD DE QUILICURA,"José Francisco Vergara #450, Municipalidad ",Quilicura,Metropolitana,Ilustre Municipalidad de Quilicura,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,"Orden de Compra codigo: 2483-240-CM24 dirigida a AUTOMOTRIZ CORDILLERA S.A.
DECRETO ALCALDICIO E. Nº1300, DEJA SIN EFECTO COMPRA VIA CONVENIO MARCO Y AUTORIZA UNA NUEVA COMPRA 2483-240-CM24
OBLIGACIÓN PRESUPUESTARIA N°1369
ENVIAR FACTURA: facturacionmunic",30 dias contra la recepcion conforme de la factura,3475,88313,32639,32414
2043197,kia frontier d/c lx 2.5l av ab MT 2024.0,kia,frontier d/c lx 2.5l av ab,,,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/kia/frontier/25l-deluxe/179347,diesel,2497 cc,129/3800 cv/rpm,255/1500-3500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16.0,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - trasera,manual 6 velocidades,,discos ventilados - tambor,horquilla doble con barra de torsión,resortes helicoidales,5125 mm,1740 mm,N/D,1995 mm,2615 mm,N/A dm3,65 l,1580 kg,1660 kg,355 mm,,,,,N/D,N/D,,,,manual,,con ajuste manual,no tiene,tela,centralizado,eléctricos - no tiene,manuales,antideslumbrante manual,fijos,delanteros,sí,hidráulica,acero,no tiene,con ajuste en altura,,traseros,,,conductor y acompañante,N/D,,delanteros inerciales,sí,,AM - FM,N/D,,sí,táctil de 7'',sistema de bloqueo electrónico diferencial,,,,sí,sí,,,trasera,,,,,,,,,,,,,,,,,195/R15,R12,,,,,,,,,,,,,64167,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,3597-335-CM24,Orden de Compra: 3597-335-CM24,2024-04-26,Recepcion Conforme,No,,(2043197) CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,Automóviles,CAMIONETA,KIA,FRONTIER D/C LX 2.5L AV AB MT 2024,22412437,1.0,22412437,CLP,22412437,0,0,22412437,"4258363,03","26670800,03",69.040.500-8,Ilustre Municipalidad de Vicuña,I MUNICIPALIDAD DE VICUNA,"San Martín  275, Vicuña",Vicuña,Coquimbo,I MUNICIPALIDAD DE VICUNA,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,Orden de Compra codigo: 3597-335-CM24 dirigida a AUTOMOTRIZ CORDILLERA S.A.,30 dias contra la recepcion conforme de la factura,4517,115303,32639,32414
2043197,kia frontier d/c lx 2.5l av ab MT 2024.0,kia,frontier d/c lx 2.5l av ab,,,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/kia/frontier/25l-deluxe/179347,diesel,2497 cc,129/3800 cv/rpm,255/1500-3500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16.0,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - trasera,manual 6 velocidades,,discos ventilados - tambor,horquilla doble con barra de torsión,resortes helicoidales,5125 mm,1740 mm,N/D,1995 mm,2615 mm,N/A dm3,65 l,1580 kg,1660 kg,355 mm,,,,,N/D,N/D,,,,manual,,con ajuste manual,no tiene,tela,centralizado,eléctricos - no tiene,manuales,antideslumbrante manual,fijos,delanteros,sí,hidráulica,acero,no tiene,con ajuste en altura,,traseros,,,conductor y acompañante,N/D,,delanteros inerciales,sí,,AM - FM,N/D,,sí,táctil de 7'',sistema de bloqueo electrónico diferencial,,,,sí,sí,,,trasera,,,,,,,,,,,,,,,,,195/R15,R12,,,,,,,,,,,,,29524,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,3597-406-CM24,Orden de Compra: 3597-406-CM24,2024-05-13,Recepcion Conforme,No,,(2043197) CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,Automóviles,CAMIONETA,KIA,FRONTIER D/C LX 2.5L AV AB MT 2024,22412437,1.0,22412437,CLP,22412437,0,0,22412437,"4258363,03","26670800,03",69.040.500-8,Ilustre Municipalidad de Vicuña,I MUNICIPALIDAD DE VICUNA,"San Martín  275, Vicuña",Vicuña,Coquimbo,I MUNICIPALIDAD DE VICUNA,Municipalidades,79.853.470-K,SALAZAR ISRAEL,AUTOMOTRIZ CORDILLERA S.A.,,,"Adquisición de Camioneta Kia Frontier, solicitada por la unidad de Movilización.",30 dias contra la recepcion conforme de la factura,4517,115303,32639,32414
2043197,kia frontier d/c lx 2.5l av ab MT 2024.0,kia,frontier d/c lx 2.5l av ab,,,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/kia/frontier/25l-deluxe/179347,diesel,2497 cc,129/3800 cv/rpm,255/1500-3500 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16.0,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - trasera,manual 6 velocidades,,discos ventilados - tambor,horquilla doble con barra de torsión,resortes helicoidales,5125 mm,1740 mm,N/D,1995 mm,2615 mm,N/A dm3,65 l,1580 kg,1660 kg,355 mm,,,,,N/D,N/D,,,,manual,,con ajuste manual,no tiene,tela,centralizado,eléctricos - no tiene,manuales,antideslumbrante manual,fijos,delanteros,sí,hidráulica,acero,no tiene,con ajuste en altura,,traseros,,,conductor y acompañante,N/D,,delanteros inerciales,sí,,AM - FM,N/D,,sí,táctil de 7'',sistema de bloqueo electrónico diferencial,,,,sí,sí,,,trasera,,,,,,,,,,,,,,,,,195/R15,R12,,,,,,,,,,,,,40471,2239-8-LR23,5802342.0,Convenio Marco de  Adquisición de Vehículos,1145-68-CM24,VEHICULO TIPO CAMIONETA,2024-05-17,Recepcion Conforme,No,,(2043197) CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,CAMIONETA KIA FRONTIER D/C LX 2.5L AV AB MT 2024 REGIÓN RM,Automóviles,CAMIONETA,KIA,FRONTIER D/C LX 2.5L AV AB MT 2024,21925210,1.0,21925210,CLP,21925210,0,0,21925210,"4165789,9","26090999,9",61.104.000-8,UNIDAD DE COMPRA ADQUISICIONES NACIONALES,DIRECCION GENERAL DE AERONAUTICA CIVIL,Av. Miguel Claro 1314,,Metropolitana,Dirección General de Aeronáutica Civil,"Gob. Central, Universidades",79.567.420-9,KIA CHILE SPA,KIA CHILE SPA,,,"Esta institución retiene por todas las compras un impuesto del 2% del total facturado (Art.37 dela ley16.752). 
",30 dias contra la recepcion conforme de la factura,2141,7202,502972,1011361
