ID,Codigo,Link,Nombre,Descripcion/Obervaciones,Tipo,ProcedenciaOC,EsTratoDirecto,EsCompraAgil,CodigoTipo,CodigoAbreviadoTipoOC,DescripcionTipoOC,codigoEstado,Estado,codigoEstadoProveedor,EstadoProveedor,FechaCreacion,FechaEnvio,FechaSolicitudCancelacion,fechaUltimaModificacion,FechaAceptacion,FechaCancelacion,tieneItems,PromedioCalificacion,CantidadEvaluacion,MontoTotalOC,TipoMonedaOC,MontoTotalOC_PesosChilenos,Impuestos,TipoImpuesto,Descuentos,Cargos,TotalNetoOC,CodigoUnidadCompra,RutUnidadCompra,UnidadCompra,CodigoOrganismoPublico,OrganismoPublico,sector,ActividadComprador,CiudadUnidadCompra,RegionUnidadCompra,PaisUnidadCompra,CodigoSucursal,RutSucursal,Sucursal,CodigoProveedor,NombreProveedor,ActividadProveedor,ComunaProveedor,RegionProveedor,PaisProveedor,Financiamiento,PorcentajeIva,Pais,TipoDespacho,FormaPago,CodigoLicitacion,Codigo_ConvenioMarco,IDItem,codigoCategoria,Categoria,codigoProductoONU,NombreroductoGenerico,RubroN1,RubroN2,RubroN3,EspecificacionComprador,EspecificacionProveedor,cantidad,UnidadMedida,monedaItem,precioNeto,totalCargos,totalDescuentos,totalImpuestos,totalLineaNeto,Forma de Pago,Year,Month
45137516,623663-239-SE21,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=623663-239-SE21,arriendo vehiculo Paul Fuenzalida FC 20489,"Es Obligatorio indicar en la factura lo siguiente Documento emitido para ser rendido en el D-42 del 2017 Subsecretaria de Energía
Reserva N° 1659215 ",SE,Proveniente de convenio marco,No,No,8,SE,Sin emisión automática,6,Aceptada,4,Aceptada,2021-12-15,2022-01-20,2021-12-15,2022-01-20,2022-01-31,,1,"4,72916666666667",48,"56051,38",CLP,"56051,38","8949,38",IVA,0,0,47102,623663,65.030.848-4,Agencia Chilena de Eficiencia Energética,1224636,AGENCIA CHILENA DE EFICIENCIA ENERGETICA,"Gob. Central, Universidades",Fundación sin fines de lucro,Providencia,Región Metropolitana de Santiago,CL,24259,83.547.100-4,Autorentas del Pacífico SA,24629,AUTORENTAS DEL PACIFICO SPA,ALQUILER DE AUTOS Y CAMIONETAS SIN CHOFER,Santiago,Región Metropolitana de Santiago,Chile,,19,CL,12,2.0,,,119953129,78111800.0,"Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera",78111808.0,Arriendo de vehículos,"Servicios de transporte, almacenaje y correo",Transporte de pasajeros,Transporte de pasajeros por carretera,FC 20489 Paul Fuenzalida Reserva N° 1659215 ,"Reserva N° 1659215 Paul Fuenzalida
FC 20489 + Cargo CDW
",2,Día,CLP,14551.0,18000,0,0.0,65102,30 dias contra la recepcion conforme de la factura,2022,1
45246762,1057472-109-SE22,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057472-109-SE22,GRAN COMPRA ARRIENDO DE VEHICULOS ID 57064	,"GRAN COMPRA ARRIENDO DE VEHICULOS ID 57064 TRALADO DE PACIENTES
MES DE DICIEMBRE 2021",SE,Proveniente de convenio marco,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,2022-01-05,2022-01-07,2022-01-05,2022-01-05,2022-01-10,,1,"4,64444444444444",9,9998975,CLP,9998975,1596475,IVA,0,0,8402500,1057472,61.980.320-5,Bienes y Servicios,1379869,HOSPITAL CLINICO METROPOLITANO EL CARMEN DOCTOR LUIS VALENTIN FERRADA,Salud,Servicio Público,Maipú,Región Metropolitana de Santiago,CL,824156,96.889.440-4,Mediterraneo Automotores SA,27979,MEDITERRANEO AUTOMOTORES S A,"VENTA, ARRIENDO, MANTENCION DE VEHICULOS",Ñuñoa,Región Metropolitana de Santiago,Chile,,19,CL,12,39.0,,,120245194,78111800.0,"Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera",78111808.0,Arriendo de vehículos,"Servicios de transporte, almacenaje y correo",Transporte de pasajeros,Transporte de pasajeros por carretera,"SERVICIO DE TRASLADO DE PACIENTES
MOVILES PATENTE LFSW 17 - LFTB 48 - LFSW 14 - LFSV 82 - LCXR 44","SERVICIO DE TRASLADO DE PACIENTES 
MES DE DICIEMBRE 2021",5,Unidad no definida,CLP,1680500.0,0.0,0,0.0,8402500,"Otro, Ver Instrucciones",2022,1
45248416,2408-8-SE22,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2408-8-SE22,ARRIENDO CAMIONETAS PARA LA MUNICIPALIDAD DE LOS A,"ARRIENDO 20 CAMIONETAS PARA LA MUNICIPALIDAD DE LOS ANGELES CORRESPONDIENTE A DICIEMBRE 2021, (PROVENIENTE DE GRAN COMPRA ID.56276) FACTURA DEBE INGRESAR A CORREO facturaelectronica@losangeles.cl, CONTACTO SR. LUIS MARIQUEO TELÉFONO 432-408683. 
MOV Y EQ",SE,Proveniente de convenio marco,No,No,8,SE,Sin emisión automática,6,Aceptada,4,Aceptada,2022-01-06,2022-01-07,2022-01-06,2022-01-06,2022-01-11,,1,"4,56",5,"12539258,48",CLP,"12539258,48","2002066,48",IVA,0,0,10537192,3400,69.170.100-K,IMUNI_LOSANGELES ADQUISICIONES,87187,I MUNICIPALIDAD DE LOS ANGELES,Municipalidades,GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA,Los Angeles,Región del Biobío ,CL,809420,77.225.200-5,Rent a Car Los Angeles,18616,ARRENDADORA DE VEHICULOS S.A.,VENTA O COMPRAVENTA AL POR MENOR DE VEHICULOS AUTO,Los Angeles,Región del Biobío ,Chile,22/5,19,CL,9,2.0,,,120249657,78111800.0,"Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera",78111808.0,Arriendo de vehículos,"Servicios de transporte, almacenaje y correo",Transporte de pasajeros,Transporte de pasajeros por carretera,"(1536569 )ARRIENDO
LARGO PLAZO
CAMIONETA - 25
MESES O MÁS
1538449
","(1536569) ARRIENDO
LARGO PLAZO
CAMIONETA - 25
MESES O MÁS;
Código: ; Región: VIII;
Monto por unidad a
pagar por despacho: $0;
AJUSTE DE SENCILLO
$ 1(52)
; SERVICIO POR $
100(3)
; SERVICIO POR $
1000(4)
; SERVICIO POR $
5.000(11)
; SERV",1,Global,CLP,10537192.0,0.0,0,0.0,10537192,30 dias contra la recepcion conforme de la factura,2022,1
45272363,5240-8-SE22,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=5240-8-SE22,ADQUISICIÓN DE VEHÍCULOS POLICIALES PARA LA SUBCOMISARÍA EL BELLOTO DE CARABINEROS DE CHILE,"ORDEN DE COMPRA PROVENIENTE DE GRAN COMPRA 61.338 
ACUERDO COMPLEMENTARIO N°34-2021
VIGENCIA Y DURACIÓN DEL ACUERDO COMPLEMENTARIO: VER CLÁUSULA TERCERO DEL ACUERDO COMPLEMENTARIO
PRECIO: VER CLÁUSULA CUARTO DEL ACUERDO COMPLEMENTARIO
FORMA DE PAGO Y ",SE,Proveniente de convenio marco,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,2022-01-11,2022-01-12,2022-01-11,2022-11-16,2022-01-19,,1,0,0,"176761517,1",CLP,"176761517,1","28222427,1",IVA,0,0,148539090,6153,61.938.500-4,Direccion de Compras Publicas de Carabineros,113812,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,,Santiago,Región Metropolitana de Santiago,CL,28072,96.928.530-4,COMERCIAL AUTOMOTRIZ S A,28098,COMERCIAL AUTOMOTRIZ SPA,VENTA O COMPRAVENTA AL POR MENOR DE VEHICULOS AUTO,Quilicura,Región Metropolitana de Santiago,Chile,,19,CL,12,2.0,,,120314613,25101700.0,Vehículos y equipamiento en general / Vehículos motorizados / Vehículos de emergencia,25101702.0,Vehículos de policía,Vehículos y equipamiento en general,Vehículos motorizados,Vehículos de emergencia,(1648716) VEHÍCULOS POLICIALES - RADIOPATRULLA  AT CALABOZO - REGIÓN METROPOLITANA,(1648716) VEHÍCULOS POLICIALES - RADIOPATRULLA  AT CALABOZO - REGIÓN METROPOLITANA,6,Unidad,CLP,24756515.0,0.0,0,0.0,148539090,30 dias contra la recepcion conforme de la factura,2022,1
45291555,1057539-410-SE22,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057539-410-SE22,VUELO AEREO (STGO - PUERTO MONTT),"ID DE RESERVA: 9CG7TB (VUELO STGO - PTO MONTT / 20:22 HRS.)

Las facturas deben ser enviadas a dipresrecepcion@custodium.com en formato XML",SE,Proveniente de convenio marco,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,2022-01-14,2022-01-14,2022-01-14,2022-03-01,2022-01-14,,1,"4,56888888888889",270,524739,CLP,524739,0,Exento,0,0,524739,1057539,61.975.100-0,Bienes y Servicios,127018,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,Salud,Servicio Público,Puerto Montt,Región de los Lagos ,,191615,88.417.000-1,Convenio Marco Chilecompra,71217,SKY AIRLINE S A,TRANSPORTE REGULAR POR VIA AEREA DE PASAJEROS| TRA,Huechuraba,Región Metropolitana de Santiago,Chile,684,0,,7,48.0,,,120363928,25201700.0,Vehículos y equipamiento en general / Componentes para sistemas aeroespaciales / Sistemas de comunicaciones en vuelo,25201707.0,Giros de avión,Vehículos y equipamiento en general,Componentes para sistemas aeroespaciales,Sistemas de comunicaciones en vuelo,9290011 PASAJE AEREO ID DE RESERVA: 9CG7TB (2 ADULTOS/ 1 MENOR DE 14 AÑOS),9290011 PASAJE AEREO ID DE RESERVA: 9CG7TB (2 ADULTOS/ 1 MENOR DE 14 AÑOS),1,Unidad no definida,CLP,524739.0,0,0,0.0,524739,,2022,1
45292257,1057539-412-SE22,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057539-412-SE22,VUELO AEREO (STGO - PUERTO MONTT),"ID DE RESERVA: LVPH4M (VUELO 15/01/2022 / STGO - PTO MONTT / 09:47 HRS.)

Las facturas deben ser enviadas a dipresrecepcion@custodium.com en formato XML",SE,Proveniente de convenio marco,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,2022-01-14,2022-01-14,2022-01-14,2022-03-01,2022-01-14,,1,"4,56888888888889",270,144113,CLP,144113,0,Exento,0,0,144113,1057539,61.975.100-0,Bienes y Servicios,127018,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,Salud,Servicio Público,Puerto Montt,Región de los Lagos ,,191615,88.417.000-1,Convenio Marco Chilecompra,71217,SKY AIRLINE S A,TRANSPORTE REGULAR POR VIA AEREA DE PASAJEROS| TRA,Huechuraba,Región Metropolitana de Santiago,Chile,740,0,,7,48.0,,,120365905,25201700.0,Vehículos y equipamiento en general / Componentes para sistemas aeroespaciales / Sistemas de comunicaciones en vuelo,25201707.0,Giros de avión,Vehículos y equipamiento en general,Componentes para sistemas aeroespaciales,Sistemas de comunicaciones en vuelo,9290011 PASAJE AEREO ID DE RESERVA: LVPH4M (1 ADULTO/ 1 INFANTE),9290011 PASAJE AEREO ID DE RESERVA: LVPH4M (1 ADULTO/ 1 INFANTE),1,Unidad no definida,CLP,144113.0,0,0,0.0,144113,,2022,1
45292303,1057539-413-SE22,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057539-413-SE22,VUELO AEREO (PTO MONTT - STGO),"ID DE RESERVA: LVPH4M (VUELO 17/01/2022 / PTO MONTT - STGO / 15:25 HRS.)

Las facturas deben ser enviadas a dipresrecepcion@custodium.com en formato XML",SE,Proveniente de convenio marco,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,2022-01-14,2022-01-14,2022-01-14,2022-03-01,2022-01-14,,1,"4,56888888888889",270,228386,CLP,228386,0,Exento,0,0,228386,1057539,61.975.100-0,Bienes y Servicios,127018,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,Salud,Servicio Público,Puerto Montt,Región de los Lagos ,,191615,88.417.000-1,Convenio Marco Chilecompra,71217,SKY AIRLINE S A,TRANSPORTE REGULAR POR VIA AEREA DE PASAJEROS| TRA,Huechuraba,Región Metropolitana de Santiago,Chile,741,0,,7,48.0,,,120366046,25201700.0,Vehículos y equipamiento en general / Componentes para sistemas aeroespaciales / Sistemas de comunicaciones en vuelo,25201707.0,Giros de avión,Vehículos y equipamiento en general,Componentes para sistemas aeroespaciales,Sistemas de comunicaciones en vuelo,9290011 PASAJE AEREO ID DE RESERVA: GXGS5A (2 ADULTOS),9290011 PASAJE AEREO ID DE RESERVA: GXGS5A (2 ADULTOS),1,Unidad no definida,CLP,228386.0,0,0,0.0,228386,,2022,1
45293360,1057539-422-SE22,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057539-422-SE22,VUELO AEREO (STGO - PTO MONTT),"ID DE RESERVA: 7B1OQB (VUELO 15/01/2022 / STGO - PTO MONTT / 12:12 HRS.)

Las facturas deben ser enviadas a dipresrecepcion@custodium.com en formato XML",SE,Proveniente de convenio marco,No,No,8,SE,Sin emisión automática,6,Aceptada,4,Aceptada,2022-01-14,2022-01-14,2022-01-14,2022-01-14,2022-01-14,,1,"4,56888888888889",270,231650,CLP,231650,0,Exento,0,0,231650,1057539,61.975.100-0,Bienes y Servicios,127018,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,Salud,Servicio Público,Puerto Montt,Región de los Lagos ,,191615,88.417.000-1,Convenio Marco Chilecompra,71217,SKY AIRLINE S A,TRANSPORTE REGULAR POR VIA AEREA DE PASAJEROS| TRA,Huechuraba,Región Metropolitana de Santiago,Chile,797,0,,7,48.0,,,120368995,25201700.0,Vehículos y equipamiento en general / Componentes para sistemas aeroespaciales / Sistemas de comunicaciones en vuelo,25201707.0,Giros de avión,Vehículos y equipamiento en general,Componentes para sistemas aeroespaciales,Sistemas de comunicaciones en vuelo,9290011 PASAJE AEREO ID DE RESERVA: 7B1OQB (1 ADULTO/ 1 MENOR DE 14 AÑOS),9290011 PASAJE AEREO ID DE RESERVA: 7B1OQB (1 ADULTO/ 1 MENOR DE 14 AÑOS),1,Unidad no definida,CLP,231650.0,0,0,0.0,231650,,2022,1
45300008,1057539-442-SE22,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057539-442-SE22,VUELO AEREO (PTO MONTT - STGO),"ID DE RESERVA: SOIV93 (VUELO 18/01/2022 / PTO MONTT - SANTIAGO/ 14:50 HRS.)

Las facturas deben ser enviadas a dipresrecepcion@custodium.com en formato XML",SE,Proveniente de convenio marco,No,No,8,SE,Sin emisión automática,6,Aceptada,4,Aceptada,2022-01-17,2022-01-17,2022-01-17,2022-03-01,2022-01-17,,1,"4,56888888888889",270,228386,CLP,228386,0,Exento,0,0,228386,1057539,61.975.100-0,Bienes y Servicios,127018,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,Salud,Servicio Público,Puerto Montt,Región de los Lagos ,,191615,88.417.000-1,Convenio Marco Chilecompra,71217,SKY AIRLINE S A,TRANSPORTE REGULAR POR VIA AEREA DE PASAJEROS| TRA,Huechuraba,Región Metropolitana de Santiago,Chile,946,0,,7,48.0,,,120386029,25201700.0,Vehículos y equipamiento en general / Componentes para sistemas aeroespaciales / Sistemas de comunicaciones en vuelo,25201707.0,Giros de avión,Vehículos y equipamiento en general,Componentes para sistemas aeroespaciales,Sistemas de comunicaciones en vuelo,9290011 PASAJE AEREO ID DE RESERVA: SOIV93 (1 ADULTO/ 1 MENOR DE 14 AÑOS),9290011 PASAJE AEREO ID DE RESERVA: SOIV93 (1 ADULTO/ 1 MENOR DE 14 AÑOS),1,Unidad no definida,CLP,228386.0,0,0,0.0,228386,,2022,1
45300556,2612-1-SE22,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2612-1-SE22,SERVICIO DE MANTENCION VEHICULO MSGG REGION ATACAM,"SERVICIO DE MANTENCION 180.000 KMTS VEHICULO INSTITUCIONAL GF.KK-97,SEREMIA DE GOBIERNO ATACAMA.",SE,Proveniente de convenio marco,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,2022-01-17,2022-01-17,2022-01-17,2022-01-17,2022-01-17,,1,5,1,"199816,47",CLP,"199816,47","31903,47",IVA,0,0,167913,3601,60.101.000-3,SEGEGOB III REGION,7194,SECRETARIA GENERAL DE GOBIERNO,"Gob. Central, Universidades",GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA,Copiapó,Región de Atacama ,  ,72950,84.916.800-2,Callegari Ltda.,70734,Callegari Ltda.,VENTA O COMPRAVENTA AL POR MENOR DE VEHICULOS AUTO,La Serena,Región de Coquimbo ,Chile,4,19,  ,7,2.0,,,120387743,78180100.0,"Servicios de transporte, almacenaje y correo / Servicios de mantención o reparaciones de transportes / Mantención o reparación de vehículos",78180101.0,Reparación y pintura carrocerías,"Servicios de transporte, almacenaje y correo",Servicios de mantención o reparaciones de transportes,Mantención o reparación de vehículos,,,1,Unidad no definida,CLP,167913.0,0,0,0.0,167913,30 dias contra la recepcion conforme de la factura,2022,1
