IDProductoCM,Modelo,Tipo de Producto,Marca,Nombre Producto ONU,Precio Unitario,Rut Unidad de Compra,Región Unidad de Compra,Sector,year,Nro Licitación Pública,Convenio Marco,CodigoOC,Fecha Envío OC,Cantidad,Rut Proveedor,Nombre Proveedor Sucursal,Vehículo,Macrozona_x,Gama_x,Pgm,Puntaje Precio_x,PUNTAJE OFERTA,Marca_x,Precio,Modelo,Versión,Precio + Despacho,Precio Macrozona-Gama,Puntaje Precio_y,exact_merge_var
1536899,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,MINIBUS,HYUNDAI ,Minibuses,17098600.0,69.071.700-K,Metropolitana,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2732-8-CM18,2018-02-06,2.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,,,,,
1536914,SANTA FE DM  WGN 2.4 6A/T 4WD GLS FULL PE,SUV,HYUNDAI ,Automóviles,19740000.0,69.073.500-8,Valparaíso,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,3232-132-CM18,2018-02-08,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,SANTA FE DM  WGN 2.4 6A/T 4WD GLS FULL PE,,,,,
1536916,SANTA FE DM  WGN 2.4 6A/T GLS PE,SUV,HYUNDAI ,Automóviles,14921513.0,65.154.016-k,Metropolitana,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,1002584-16-CM18,2018-02-08,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,SANTA FE DM  WGN 2.4 6A/T GLS PE,,,,,
1536916,SANTA FE DM  WGN 2.4 6A/T GLS PE,SUV,HYUNDAI ,Automóviles,14921513.0,65.154.021-6,Metropolitana,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,1002592-43-CM18,2018-02-08,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,SANTA FE DM  WGN 2.4 6A/T GLS PE,,,,,
1536979,NEW MAHINDRA SCORPIO SUV  4X4 ABS 2AB,SUV,MAHINDRA,Automóviles,10497983.0,61.955.100-1,Araucanía,Salud,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,4725-21-CM18,2018-02-09,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,NEW MAHINDRA SCORPIO SUV  4X4 ABS 2AB,,,,,
1536916,SANTA FE DM  WGN 2.4 6A/T GLS PE,SUV,HYUNDAI ,Automóviles,15016513.0,61.999.320-9,Coquimbo,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,1002588-32-CM18,2018-02-12,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,SANTA FE DM  WGN 2.4 6A/T GLS PE,,,,,
1536911,SANTA FE DM  WGN 2.2 CRDI 6A/T 4WD GLS PE,SUV,HYUNDAI ,Automóviles,17874706.0,69.140.500-1,Ñuble,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2724-130-CM18,2018-02-15,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,SANTA FE DM  WGN 2.2 CRDI 6A/T 4WD GLS PE,,,,,
1536814,RANGER XLT 4X2 BENCINA,CAMIONETA,FORD,Automóviles,13865000.0,60.901.003-7,Tarapacá,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,948-27-CM18,2018-02-15,1.0,76.068.841-k,Automotriz For Center SA,,,,,,,,,RANGER XLT 4X2 BENCINA,,,,,
1536814,RANGER XLT 4X2 BENCINA,CAMIONETA,FORD,Automóviles,13865000.0,61.999.320-9,Coquimbo,"Gob. Central, Universidades",2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,1002588-36-CM18,2018-02-15,1.0,76.068.841-k,Automotriz For Center SA,,,,,,,,,RANGER XLT 4X2 BENCINA,,,,,
1536899,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,MINIBUS,HYUNDAI ,Minibuses,17168600.0,69.150.102-7,Bío-Bío,Municipalidades,2018,2239-4-LR17,Compra de Vehículos Livianos y Medianos,2664-252-CM18,2018-02-26,1.0,79.649.140-k,Automotores Gildemeister CAMIONES,,,,,,,,,H-1  MB 2.5 CRDI 6M/T GLS 10S AC 2AB ABS,,,,,
